dataset,project_broad_celltype,program,mean_score,detection_fraction
GSE149614,other/uncertain,neutrophil,1.56696304432451,1
GSE149614,hepatocyte/tumor epithelial,dendritic,1.16701795391458,1
GSE149614,monocyte/macrophage,dendritic,1.86948787343653,0.966666666666667
GSE149614,plasma,dendritic,0.494053177525881,0.960264900662252
GSE149614,B,dendritic,2.31627174834416,1
GSE149614,T/NK,dendritic,0.610154112310861,0.666666666666667
GSE149614,other/uncertain,dendritic,2.30855756207367,1
GSE149614,hepatocyte/tumor epithelial,mast,0.00363309308399962,0.0142348754448399
GSE149614,monocyte/macrophage,mast,0,0
GSE149614,plasma,mast,0.00474038281779758,0.0198675496688742
GSE149614,B,mast,0,0
GSE149614,T/NK,mast,0,0
GSE149614,other/uncertain,mast,0,0
GSE149614,hepatocyte/tumor epithelial,endothelial,0.0185800862403561,0.0818505338078292
GSE149614,monocyte/macrophage,endothelial,0.0795991903957283,0.3
GSE149614,plasma,endothelial,0.0841407358253818,0.33112582781457
GSE149614,B,endothelial,0.232071226030665,0.529411764705882
GSE149614,T/NK,endothelial,0.102755363148382,0.333333333333333
GSE149614,other/uncertain,endothelial,0,0
GSE149614,hepatocyte/tumor epithelial,fibroblast/mesenchymal,0.0233409510587945,0.0533807829181495
GSE149614,monocyte/macrophage,fibroblast/mesenchymal,0.0136943843512384,0.0666666666666667
GSE149614,plasma,fibroblast/mesenchymal,0.00392712908421179,0.0198675496688742
GSE149614,B,fibroblast/mesenchymal,0,0
GSE149614,T/NK,fibroblast/mesenchymal,0.092910923502499,0.333333333333333
GSE149614,other/uncertain,fibroblast/mesenchymal,0,0
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,3.23542159747713,1
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,4.64099870536702,1
GSE149614,B,hepatocyte/tumor epithelial,3.15523511339398,1
GSE149614,plasma,hepatocyte/tumor epithelial,2.81421651982023,1
GSE149614,T/NK,hepatocyte/tumor epithelial,3.15184344775669,1
GSE149614,endothelial,hepatocyte/tumor epithelial,2.74202547564575,1
GSE149614,other/uncertain,hepatocyte/tumor epithelial,3.5178608875286,1
GSE149614,monocyte/macrophage,T/NK,0.389353678665437,0.554545454545455
GSE149614,hepatocyte/tumor epithelial,T/NK,0.749038336188238,0.736842105263158
GSE149614,B,T/NK,0.307903484008679,0.489795918367347
GSE149614,plasma,T/NK,0.377469674611883,0.571428571428571
GSE149614,T/NK,T/NK,3.36349266458375,1
GSE149614,endothelial,T/NK,0,0
GSE149614,other/uncertain,T/NK,2.40120329370749,1
GSE149614,monocyte/macrophage,B,2.95960453713183,1
GSE149614,hepatocyte/tumor epithelial,B,1.35386463374949,0.960526315789474
GSE149614,B,B,3.91249469221034,1
GSE149614,plasma,B,1.3700503778591,1
GSE149614,T/NK,B,1.6010098156386,0.714285714285714
GSE149614,endothelial,B,1.73507590567967,1
GSE149614,other/uncertain,B,2.13679818389459,1
GSE149614,monocyte/macrophage,plasma,1.48353219593058,0.954545454545455
GSE149614,hepatocyte/tumor epithelial,plasma,1.6502048018757,0.980263157894737
GSE149614,B,plasma,1.40678413734178,0.938775510204082
GSE149614,plasma,plasma,6.37721550901194,1
GSE149614,T/NK,plasma,1.1859925876889,0.857142857142857
GSE149614,endothelial,plasma,1.42438352098003,1
GSE149614,other/uncertain,plasma,1.32527925046281,1
GSE149614,monocyte/macrophage,monocyte/macrophage,3.67037524573503,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,2.98340146498679,0.99671052631579
GSE149614,B,monocyte/macrophage,3.06782570754053,1
GSE149614,plasma,monocyte/macrophage,1.55320006534137,1
GSE149614,T/NK,monocyte/macrophage,1.72290221660552,1
GSE149614,endothelial,monocyte/macrophage,1.63535796286659,1
GSE149614,other/uncertain,monocyte/macrophage,1.46953047965382,1
GSE149614,monocyte/macrophage,neutrophil,1.20613981693119,0.963636363636364
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.620994756504314,0.848684210526316
GSE149614,B,neutrophil,1.27242435046387,0.979591836734694
GSE149614,plasma,neutrophil,0.676196159513348,0.928571428571429
GSE149614,T/NK,neutrophil,1.4419702468345,0.857142857142857
GSE149614,endothelial,neutrophil,0.952870425612859,1
GSE149614,other/uncertain,neutrophil,1.52829595061199,1
GSE149614,monocyte/macrophage,dendritic,2.35576036766593,1
GSE149614,hepatocyte/tumor epithelial,dendritic,1.17197253413544,0.87828947368421
GSE149614,B,dendritic,2.50372612150657,1
GSE149614,plasma,dendritic,0.611143521701289,0.857142857142857
GSE149614,T/NK,dendritic,0.876532027113468,0.714285714285714
GSE149614,endothelial,dendritic,1.73507590567967,1
GSE149614,other/uncertain,dendritic,0,0
GSE149614,monocyte/macrophage,mast,0,0
GSE149614,hepatocyte/tumor epithelial,mast,0,0
GSE149614,B,mast,0,0
GSE149614,plasma,mast,0,0
GSE149614,T/NK,mast,0,0
GSE149614,endothelial,mast,0,0
GSE149614,other/uncertain,mast,0,0
GSE149614,monocyte/macrophage,endothelial,0.214827013823187,0.327272727272727
GSE149614,hepatocyte/tumor epithelial,endothelial,0.324509493237845,0.302631578947368
