dataset,source_author_annotation,project_broad_celltype,n_cells,fraction_within_source_author_annotation
GSE299340,(missing),monocyte/macrophage,1609,0.223286150430197
GSE299340,(missing),endothelial,265,0.0367749097973911
GSE299340,(missing),B,1018,0.141271162919789
GSE299340,(missing),neutrophil,325,0.0451013044684985
GSE299340,(missing),hepatocyte/tumor epithelial,72,0.00999167360532889
GSE299340,(missing),fibroblast/mesenchymal,20,0.00277546489036914
GSE299340,(missing),dendritic,47,0.00652234249236747
GSE299340,(missing),other/uncertain,212,0.0294199278379128
GSE299340,(missing),mast,7,0.000971412711629198
GSE299340,(missing),T/NK,5503,0.659753027214962
GSE299340,(missing),plasma,1121,0.134396355353075
GSE299340,(missing),B,470,0.0563481596930824
GSE299340,(missing),other/uncertain,420,0.0503536746193502
GSE299340,(missing),monocyte/macrophage,489,0.0586260640211006
GSE299340,(missing),hepatocyte/tumor epithelial,241,0.028893418055389
GSE299340,(missing),neutrophil,72,0.00863205850617432
GSE299340,(missing),mast,6,0.00071933820884786
GSE299340,(missing),dendritic,9,0.00107900731327179
GSE299340,(missing),endothelial,10,0.00119889701474643
GSE299340,(missing),monocyte/macrophage,249,0.0330151153540175
GSE299340,(missing),T/NK,5404,0.71652081675948
GSE299340,(missing),B,892,0.118271015645717
GSE299340,(missing),neutrophil,207,0.0274463007159905
GSE299340,(missing),other/uncertain,283,0.0375232033943251
GSE299340,(missing),plasma,361,0.0478652877220896
GSE299340,(missing),hepatocyte/tumor epithelial,60,0.00795544948289578
GSE299340,(missing),mast,32,0.00424290639087775
GSE299340,(missing),fibroblast/mesenchymal,16,0.00212145319543888
GSE299340,(missing),endothelial,31,0.00411031556616282
GSE299340,(missing),dendritic,7,0.000928135773004508
GSE326201,(missing),T/NK,3455,0.697416229309649
GSE326201,(missing),B,571,0.115260395639887
GSE326201,(missing),dendritic,35,0.00706499798142915
GSE326201,(missing),other/uncertain,237,0.0478401291885345
GSE326201,(missing),plasma,33,0.00666128381106177
GSE326201,(missing),monocyte/macrophage,216,0.043601130399677
GSE326201,(missing),endothelial,132,0.0266451352442471
GSE326201,(missing),neutrophil,172,0.0347194186515947
GSE326201,(missing),hepatocyte/tumor epithelial,99,0.0199838514331853
GSE326201,(missing),fibroblast/mesenchymal,4,0.00080742834073476
GSE326201,(missing),B,1655,0.142292150288023
GSE326201,(missing),monocyte/macrophage,2406,0.206860974980655
GSE326201,(missing),T/NK,3848,0.330839996560915
GSE326201,(missing),endothelial,1386,0.119164302295589
GSE326201,(missing),other/uncertain,524,0.0450520161637005
GSE326201,(missing),fibroblast/mesenchymal,969,0.0833118390508125
GSE326201,(missing),hepatocyte/tumor epithelial,207,0.0177972659272633
GSE326201,(missing),neutrophil,280,0.0240735964233514
GSE326201,(missing),dendritic,264,0.022697962342017
GSE326201,(missing),mast,41,0.00352506233341931
GSE326201,(missing),plasma,51,0.00438483363425329
GSE326201,(missing),other/uncertain,128,0.0671916010498688
GSE326201,(missing),hepatocyte/tumor epithelial,58,0.0304461942257218
GSE326201,(missing),neutrophil,66,0.0346456692913386
GSE326201,(missing),T/NK,1331,0.698687664041995
GSE326201,(missing),endothelial,39,0.0204724409448819
GSE326201,(missing),B,180,0.0944881889763779
GSE326201,(missing),monocyte/macrophage,74,0.0388451443569554
GSE326201,(missing),fibroblast/mesenchymal,8,0.0041994750656168
GSE326201,(missing),plasma,12,0.0062992125984252
GSE326201,(missing),dendritic,6,0.0031496062992126
GSE326201,(missing),mast,3,0.0015748031496063
GSE326201,(missing),B,1171,0.26565335753176
GSE326201,(missing),hepatocyte/tumor epithelial,1413,0.320553539019964
GSE326201,(missing),monocyte/macrophage,161,0.036524500907441
GSE326201,(missing),T/NK,984,0.223230490018149
GSE326201,(missing),endothelial,447,0.101406533575318
GSE326201,(missing),fibroblast/mesenchymal,28,0.00635208711433757
GSE326201,(missing),other/uncertain,37,0.00839382940108893
GSE326201,(missing),neutrophil,96,0.0217785843920145
GSE326201,(missing),plasma,10,0.00226860254083485
GSE326201,(missing),dendritic,61,0.0138384754990926
GSE326201,(missing),B,708,0.211595935445308
GSE326201,(missing),neutrophil,213,0.0636580992229528
GSE326201,(missing),endothelial,272,0.0812910938433951
GSE326201,(missing),T/NK,1123,0.335624626419606
GSE326201,(missing),other/uncertain,159,0.047519426180514
GSE326201,(missing),monocyte/macrophage,609,0.182008368200837
GSE326201,(missing),hepatocyte/tumor epithelial,109,0.0325762104004782
GSE326201,(missing),fibroblast/mesenchymal,36,0.0107591153616258
GSE326201,(missing),plasma,84,0.0251046025104603
GSE326201,(missing),dendritic,29,0.0086670651524208
GSE326201,(missing),mast,4,0.00119545726240287
GSE326201,(missing),endothelial,562,0.103384841795438
GSE326201,(missing),T/NK,2362,0.434510669610007
GSE326201,(missing),B,1034,0.190213392200147
GSE326201,(missing),hepatocyte/tumor epithelial,290,0.0533480500367918
GSE326201,(missing),fibroblast/mesenchymal,530,0.0974981604120677
GSE326201,(missing),dendritic,200,0.0367917586460633
GSE326201,(missing),monocyte/macrophage,158,0.02906548933039
GSE326201,(missing),mast,28,0.00515084621044886
GSE326201,(missing),other/uncertain,158,0.02906548933039
GSE326201,(missing),neutrophil,66,0.0121412803532009
GSE326201,(missing),plasma,48,0.00883002207505519
GSE326201,(missing),T/NK,2316,0.379423328964613
GSE326201,(missing),fibroblast/mesenchymal,204,0.0334207077326343
GSE326201,(missing),endothelial,762,0.124836173001311
GSE326201,(missing),neutrophil,121,0.0198230668414155
GSE326201,(missing),monocyte/macrophage,351,0.0575032765399738
GSE326201,(missing),hepatocyte/tumor epithelial,628,0.102883355176933
GSE326201,(missing),other/uncertain,211,0.03456749672346
GSE326201,(missing),B,1164,0.190694626474443
GSE326201,(missing),dendritic,122,0.0199868938401049
GSE326201,(missing),plasma,208,0.0340760157273919
GSE326201,(missing),mast,17,0.00278505897771953
GSE326201,(missing),T/NK,1971,0.374714828897338
GSE326201,(missing),B,1147,0.218060836501901
GSE326201,(missing),hepatocyte/tumor epithelial,341,0.064828897338403
GSE326201,(missing),endothelial,767,0.145817490494297
GSE326201,(missing),other/uncertain,112,0.0212927756653992
GSE326201,(missing),fibroblast/mesenchymal,231,0.0439163498098859
GSE326201,(missing),dendritic,123,0.023384030418251
GSE326201,(missing),neutrophil,83,0.0157794676806084
GSE326201,(missing),monocyte/macrophage,399,0.0758555133079848
GSE326201,(missing),plasma,83,0.0157794676806084
GSE326201,(missing),mast,3,0.000570342205323194
GSE326201,(missing),B,869,0.199449162267615
GSE326201,(missing),T/NK,2248,0.515951342666973
GSE326201,(missing),monocyte/macrophage,230,0.0527886160201974
GSE326201,(missing),other/uncertain,127,0.029148496672022
GSE326201,(missing),hepatocyte/tumor epithelial,487,0.111774156529722
GSE326201,(missing),endothelial,226,0.0518705531328896
GSE326201,(missing),fibroblast/mesenchymal,74,0.0169841634151939
GSE326201,(missing),neutrophil,25,0.00573789304567363
GSE326201,(missing),plasma,44,0.0100986917603856
GSE326201,(missing),dendritic,23,0.00527886160201974
GSE326201,(missing),mast,4,0.000918062887307781
GSE326201,(missing),T/NK,1840,0.500135906496331
GSE326201,(missing),neutrophil,72,0.0195705354715955
GSE326201,(missing),monocyte/macrophage,474,0.128839358521337
GSE326201,(missing),endothelial,507,0.137809187279152
GSE326201,(missing),other/uncertain,109,0.0296276162000544
GSE326201,(missing),B,498,0.135362870345203
GSE326201,(missing),plasma,42,0.0114161456917641
GSE326201,(missing),hepatocyte/tumor epithelial,106,0.0288121772220712
GSE326201,(missing),fibroblast/mesenchymal,10,0.00271812992661049
GSE326201,(missing),mast,4,0.0010872519706442
GSE326201,(missing),dendritic,17,0.00462082087523784
GSE326201,(missing),other/uncertain,49,0.00874687611567297
GSE326201,(missing),endothelial,525,0.0937165298107819
GSE326201,(missing),T/NK,1735,0.309710817565155
GSE326201,(missing),fibroblast/mesenchymal,232,0.0414137807925741
GSE326201,(missing),hepatocyte/tumor epithelial,1096,0.195644412709747
GSE326201,(missing),B,1327,0.236879685826491
GSE326201,(missing),dendritic,441,0.0787218850410568
GSE326201,(missing),neutrophil,24,0.00428418421992146
GSE326201,(missing),monocyte/macrophage,107,0.0191003213138165
GSE326201,(missing),plasma,51,0.0091038914673331
GSE326201,(missing),mast,15,0.00267761513745091
GSE326201,(missing),T/NK,5649,0.761115602263541
GSE326201,(missing),B,1007,0.135677714901644
GSE326201,(missing),plasma,123,0.0165723524656427
GSE326201,(missing),neutrophil,79,0.0106440312584209
GSE326201,(missing),monocyte/macrophage,161,0.021692266235516
GSE326201,(missing),other/uncertain,180,0.0242522231204527
GSE326201,(missing),fibroblast/mesenchymal,15,0.00202101859337106
GSE326201,(missing),endothelial,156,0.021018593371059
GSE326201,(missing),dendritic,26,0.0035030988951765
GSE326201,(missing),hepatocyte/tumor epithelial,15,0.00202101859337106
GSE326201,(missing),mast,11,0.00148208030180544
GSE326201,(missing),T/NK,2852,0.624890446976337
GSE326201,(missing),fibroblast/mesenchymal,521,0.114154250657318
GSE326201,(missing),monocyte/macrophage,144,0.0315512708150745
GSE326201,(missing),B,567,0.124233128834356
GSE326201,(missing),other/uncertain,221,0.0484224364592463
GSE326201,(missing),dendritic,50,0.0109553023663453
GSE326201,(missing),endothelial,171,0.037467134092901
GSE326201,(missing),plasma,10,0.00219106047326906
GSE326201,(missing),hepatocyte/tumor epithelial,17,0.00372480280455741
GSE326201,(missing),mast,8,0.00175284837861525
GSE326201,(missing),neutrophil,3,0.000657318141980719
GSE326201,(missing),B,1472,0.259749426504323
GSE326201,(missing),T/NK,2590,0.457031939297688
GSE326201,(missing),fibroblast/mesenchymal,455,0.0802893947414858
GSE326201,(missing),dendritic,300,0.0529380624669137
GSE326201,(missing),plasma,101,0.0178224810305276
GSE326201,(missing),endothelial,390,0.0688194812069878
GSE326201,(missing),hepatocyte/tumor epithelial,91,0.0160578789482972
GSE326201,(missing),monocyte/macrophage,84,0.0148226574907358
GSE326201,(missing),other/uncertain,163,0.0287630139403565
GSE326201,(missing),neutrophil,18,0.00317628374801482
GSE326201,(missing),mast,3,0.000529380624669137
GSE326201,(missing),endothelial,161,0.0326241134751773
GSE326201,(missing),B,822,0.166565349544073
GSE326201,(missing),T/NK,3242,0.65694022289767
GSE326201,(missing),monocyte/macrophage,370,0.0749746707193516
GSE326201,(missing),fibroblast/mesenchymal,10,0.00202634245187437
GSE326201,(missing),other/uncertain,81,0.0164133738601824
GSE326201,(missing),hepatocyte/tumor epithelial,96,0.0194528875379939
GSE326201,(missing),plasma,78,0.0158054711246201
GSE326201,(missing),dendritic,10,0.00202634245187437
GSE326201,(missing),neutrophil,61,0.0123606889564336
GSE326201,(missing),mast,4,0.000810536980749747
GSE326201,(missing),B,1132,0.362704261454662
GSE326201,(missing),hepatocyte/tumor epithelial,1017,0.325857097084268
GSE326201,(missing),monocyte/macrophage,151,0.0483819288689523
GSE326201,(missing),fibroblast/mesenchymal,22,0.00704902274911887
GSE326201,(missing),T/NK,423,0.135533482858058
GSE326201,(missing),dendritic,67,0.0214674783723166
GSE326201,(missing),endothelial,270,0.0865107337391862
GSE326201,(missing),other/uncertain,23,0.00736943287407882
GSE326201,(missing),plasma,9,0.00288369112463954
GSE326201,(missing),neutrophil,5,0.00160205062479974
GSE326201,(missing),mast,2,0.000640820249919898
GSE326201,(missing),T/NK,3329,0.574460742018982
GSE326201,(missing),endothelial,449,0.0774805867126834
GSE326201,(missing),B,474,0.0817946505608283
GSE326201,(missing),monocyte/macrophage,951,0.164106988783434
GSE326201,(missing),hepatocyte/tumor epithelial,304,0.0524590163934426
GSE326201,(missing),neutrophil,95,0.0163934426229508
GSE326201,(missing),plasma,79,0.0136324417601381
GSE326201,(missing),other/uncertain,93,0.0160483175150992
GSE326201,(missing),mast,4,0.000690250215703192
GSE326201,(missing),fibroblast/mesenchymal,7,0.00120793787748059
GSE326201,(missing),dendritic,10,0.00172562553925798
GSE326201,(missing),fibroblast/mesenchymal,662,0.138551695269987
GSE326201,(missing),T/NK,1853,0.387819171201339
GSE326201,(missing),endothelial,445,0.0931352030138133
GSE326201,(missing),B,559,0.116994558392633
GSE326201,(missing),monocyte/macrophage,654,0.136877354541649
GSE326201,(missing),dendritic,129,0.0269987442444537
GSE326201,(missing),plasma,271,0.0567182921724571
GSE326201,(missing),neutrophil,94,0.019673503557974
GSE326201,(missing),other/uncertain,69,0.0144411887819171
GSE326201,(missing),hepatocyte/tumor epithelial,28,0.00586019254918376
GSE326201,(missing),mast,14,0.00293009627459188
CRA002308,(missing),T/NK,6009,0.726338692131029
CRA002308,(missing),dendritic,7,0.000846125951891696
CRA002308,(missing),neutrophil,1203,0.145412788589387
CRA002308,(missing),B,536,0.064789072887707
CRA002308,(missing),hepatocyte/tumor epithelial,10,0.00120875135984528
CRA002308,(missing),monocyte/macrophage,270,0.0326362867158226
CRA002308,(missing),other/uncertain,128,0.0154720174060196
CRA002308,(missing),plasma,79,0.00954913574277771
CRA002308,(missing),mast,18,0.0021757524477215
CRA002308,(missing),endothelial,12,0.00145050163181434
CRA002308,(missing),fibroblast/mesenchymal,1,0.000120875135984528
CRA002308,(missing),T/NK,8718,0.687810650887574
CRA002308,(missing),neutrophil,1443,0.113846153846154
CRA002308,(missing),B,1024,0.0807889546351085
CRA002308,(missing),monocyte/macrophage,708,0.0558579881656805
CRA002308,(missing),other/uncertain,298,0.0235108481262327
CRA002308,(missing),plasma,134,0.0105719921104536
CRA002308,(missing),hepatocyte/tumor epithelial,197,0.0155424063116371
CRA002308,(missing),endothelial,109,0.00859960552268245
CRA002308,(missing),mast,7,0.000552268244575937
CRA002308,(missing),dendritic,34,0.00268244575936884
CRA002308,(missing),fibroblast/mesenchymal,3,0.000236686390532544
CRA002308,(missing),neutrophil,540,0.0393013100436681
CRA002308,(missing),T/NK,11011,0.801382823871907
CRA002308,(missing),B,1116,0.0812227074235808
CRA002308,(missing),mast,88,0.00640465793304221
CRA002308,(missing),other/uncertain,162,0.0117903930131004
CRA002308,(missing),endothelial,105,0.00764192139737991
CRA002308,(missing),monocyte/macrophage,602,0.0438136826783115
CRA002308,(missing),hepatocyte/tumor epithelial,43,0.00312954876273654
CRA002308,(missing),dendritic,30,0.00218340611353712
CRA002308,(missing),plasma,42,0.00305676855895197
CRA002308,(missing),fibroblast/mesenchymal,1,7.27802037845706e-05
CRA002308,(missing),T/NK,8340,0.778057654631962
CRA002308,(missing),B,592,0.0552290325590074
CRA002308,(missing),neutrophil,903,0.0842429331094319
CRA002308,(missing),monocyte/macrophage,545,0.0508442951767889
CRA002308,(missing),other/uncertain,192,0.0179121186677862
CRA002308,(missing),endothelial,45,0.00419815281276239
CRA002308,(missing),dendritic,16,0.00149267655564885
CRA002308,(missing),hepatocyte/tumor epithelial,30,0.00279876854184159
CRA002308,(missing),mast,19,0.00177255340983301
CRA002308,(missing),plasma,35,0.00326522996548185
CRA002308,(missing),fibroblast/mesenchymal,2,0.000186584569456106
CRA002308,(missing),T/NK,4358,0.666258981807063
CRA002308,(missing),neutrophil,845,0.129185139886867
CRA002308,(missing),monocyte/macrophage,614,0.093869438923712
CRA002308,(missing),B,336,0.0513682923100443
CRA002308,(missing),plasma,37,0.00565662742699893
CRA002308,(missing),endothelial,48,0.00733832747286348
CRA002308,(missing),other/uncertain,219,0.0334811190949396
CRA002308,(missing),mast,49,0.0074912092952148
CRA002308,(missing),dendritic,12,0.00183458186821587
CRA002308,(missing),hepatocyte/tumor epithelial,22,0.00336340009172909
CRA002308,(missing),fibroblast/mesenchymal,1,0.000152881822351322
CRA002308,(missing),T/NK,7691,0.740658705701079
CRA002308,(missing),B,510,0.0491140215716487
CRA002308,(missing),monocyte/macrophage,506,0.048728813559322
CRA002308,(missing),plasma,165,0.0158898305084746
CRA002308,(missing),other/uncertain,278,0.0267719568567026
CRA002308,(missing),neutrophil,1102,0.106124807395994
CRA002308,(missing),mast,6,0.000577812018489985
CRA002308,(missing),hepatocyte/tumor epithelial,46,0.00442989214175655
CRA002308,(missing),dendritic,41,0.00394838212634823
CRA002308,(missing),endothelial,39,0.0037557781201849
CRA002308,(missing),T/NK,3744,0.778216586988152
CRA002308,(missing),monocyte/macrophage,190,0.0394928289336936
CRA002308,(missing),dendritic,3,0.000623570983163584
CRA002308,(missing),B,282,0.0586156724173768
CRA002308,(missing),neutrophil,401,0.0833506547495323
CRA002308,(missing),plasma,59,0.0122635626688838
CRA002308,(missing),other/uncertain,86,0.0178757015173561
CRA002308,(missing),mast,10,0.00207856994387861
CRA002308,(missing),hepatocyte/tumor epithelial,8,0.00166285595510289
CRA002308,(missing),endothelial,25,0.00519642485969653
CRA002308,(missing),fibroblast/mesenchymal,3,0.000623570983163584
CRA002308,(missing),B,1373,0.106121502550626
CRA002308,(missing),monocyte/macrophage,1445,0.111686504869377
CRA002308,(missing),T/NK,8839,0.683181326325553
CRA002308,(missing),neutrophil,525,0.0405781419075591
CRA002308,(missing),plasma,199,0.0153810480754367
CRA002308,(missing),other/uncertain,239,0.0184727160302983
CRA002308,(missing),hepatocyte/tumor epithelial,275,0.0212552171896738
CRA002308,(missing),endothelial,28,0.00216416756840315
CRA002308,(missing),dendritic,9,0.000695625289843871
CRA002308,(missing),fibroblast/mesenchymal,5,0.000386458494357706
CRA002308,(missing),mast,1,7.72916988715412e-05
CRA002308,(missing),B,1403,0.114689773563312
CRA002308,(missing),T/NK,8697,0.710945802337938
CRA002308,(missing),neutrophil,299,0.024442082890542
CRA002308,(missing),monocyte/macrophage,1012,0.0827270497833728
CRA002308,(missing),endothelial,212,0.0173301724842639
CRA002308,(missing),other/uncertain,299,0.024442082890542
CRA002308,(missing),hepatocyte/tumor epithelial,194,0.0158587427450339
CRA002308,(missing),plasma,79,0.00645794163328701
CRA002308,(missing),dendritic,31,0.00253412899534047
CRA002308,(missing),fibroblast/mesenchymal,7,0.000572222676367204
CRA002308,(missing),T/NK,8631,0.817174777504261
CRA002308,(missing),plasma,71,0.0067222117023291
CRA002308,(missing),other/uncertain,95,0.00899450861579246
CRA002308,(missing),monocyte/macrophage,442,0.0418481348229502
CRA002308,(missing),B,883,0.0836015906078394
CRA002308,(missing),neutrophil,376,0.035599318310926
CRA002308,(missing),dendritic,30,0.0028403711418292
CRA002308,(missing),hepatocyte/tumor epithelial,17,0.00160954364703655
CRA002308,(missing),endothelial,11,0.00104146941867071
CRA002308,(missing),mast,6,0.00056807422836584
CRA002308,(missing),T/NK,9094,0.540762323838973
CRA002308,(missing),B,4576,0.272105607421062
CRA002308,(missing),monocyte/macrophage,1384,0.0822976749717548
CRA002308,(missing),other/uncertain,396,0.0235476006422073
CRA002308,(missing),endothelial,132,0.0078492002140691
CRA002308,(missing),neutrophil,569,0.0338348100136766
CRA002308,(missing),plasma,344,0.020455491466968
CRA002308,(missing),hepatocyte/tumor epithelial,127,0.00755188202414224
CRA002308,(missing),dendritic,40,0.00237854551941488
CRA002308,(missing),fibroblast/mesenchymal,122,0.00725456383421538
CRA002308,(missing),mast,33,0.00196230005351727
CRA002308,(missing),monocyte/macrophage,1528,0.153923642590914
CRA002308,(missing),T/NK,3903,0.393170142036869
CRA002308,(missing),B,2159,0.217487659917397
CRA002308,(missing),neutrophil,853,0.0859272690641684
CRA002308,(missing),other/uncertain,240,0.024176488365065
CRA002308,(missing),endothelial,848,0.0854235922232296
CRA002308,(missing),hepatocyte/tumor epithelial,226,0.0227661932104362
CRA002308,(missing),plasma,42,0.00423088546388637
CRA002308,(missing),fibroblast/mesenchymal,61,0.00614485745945401
CRA002308,(missing),mast,29,0.00292132567744535
CRA002308,(missing),dendritic,38,0.00382794399113529
CRA002308,(missing),plasma,1982,0.0971616255698809
CRA002308,(missing),B,3596,0.17628315113486
CRA002308,(missing),T/NK,6663,0.326633658512672
CRA002308,(missing),hepatocyte/tumor epithelial,6288,0.30825040443159
CRA002308,(missing),monocyte/macrophage,927,0.0454434040884357
CRA002308,(missing),neutrophil,166,0.00813765380655915
CRA002308,(missing),dendritic,310,0.0151968233736948
CRA002308,(missing),other/uncertain,354,0.0173537918525418
CRA002308,(missing),mast,97,0.00475513505563998
CRA002308,(missing),endothelial,15,0.000735330163243296
CRA002308,(missing),fibroblast/mesenchymal,1,4.90220108828864e-05
CRA002308,(missing),T/NK,5432,0.622792937399679
CRA002308,(missing),B,825,0.0945883971566155
CRA002308,(missing),endothelial,62,0.00710846136207292
CRA002308,(missing),neutrophil,579,0.0663838569135519
CRA002308,(missing),other/uncertain,252,0.028892455858748
CRA002308,(missing),monocyte/macrophage,1341,0.15374914010548
CRA002308,(missing),mast,53,0.00607658793854621
CRA002308,(missing),plasma,62,0.00710846136207292
CRA002308,(missing),fibroblast/mesenchymal,40,0.00458610410456317
CRA002308,(missing),hepatocyte/tumor epithelial,70,0.00802568218298555
CRA002308,(missing),dendritic,6,0.000687915615684476
in_house,(missing),other/uncertain,338,0.0291253769926756
in_house,(missing),T/NK,5111,0.440413614821198
in_house,(missing),fibroblast/mesenchymal,1311,0.112968548039638
in_house,(missing),hepatocyte/tumor epithelial,1406,0.121154674709177
in_house,(missing),monocyte/macrophage,334,0.0287806979750108
in_house,(missing),B,1097,0.0945282205945713
in_house,(missing),dendritic,62,0.00534252477380439
in_house,(missing),endothelial,1696,0.146143903489875
in_house,(missing),plasma,97,0.00835846617837139
in_house,(missing),mast,72,0.00620422231796639
in_house,(missing),neutrophil,81,0.00697975010771219
in_house,(missing),other/uncertain,506,0.0368107085697658
in_house,(missing),plasma,3739,0.27200640186236
in_house,(missing),monocyte/macrophage,3848,0.2799359813764
in_house,(missing),neutrophil,2321,0.168849119743926
in_house,(missing),B,466,0.0339007711334206
in_house,(missing),T/NK,2789,0.202895387749163
in_house,(missing),hepatocyte/tumor epithelial,53,0.00385566710315728
in_house,(missing),endothelial,20,0.00145496871817256
in_house,(missing),dendritic,1,7.2748435908628e-05
in_house,(missing),fibroblast/mesenchymal,3,0.000218245307725884
in_house,(missing),monocyte/macrophage,4096,0.647896235368554
in_house,(missing),neutrophil,1605,0.253875355900032
in_house,(missing),other/uncertain,478,0.0756089844985764
in_house,(missing),B,76,0.01202151217969
in_house,(missing),plasma,9,0.00142360012654223
in_house,(missing),fibroblast/mesenchymal,35,0.00553622271433091
in_house,(missing),T/NK,19,0.00300537804492249
in_house,(missing),dendritic,1,0.000158177791838026
in_house,(missing),endothelial,3,0.000474533375514078
in_house,(missing),neutrophil,499,0.0516509678087155
in_house,(missing),other/uncertain,567,0.0586895766483801
in_house,(missing),monocyte/macrophage,240,0.0248421488458752
in_house,(missing),plasma,1203,0.124521271089949
in_house,(missing),mast,21,0.00217368802401408
in_house,(missing),B,609,0.0630369526964083
in_house,(missing),T/NK,5478,0.567022047407101
in_house,(missing),fibroblast/mesenchymal,127,0.0131456370976089
in_house,(missing),endothelial,616,0.0637615153710796
in_house,(missing),hepatocyte/tumor epithelial,280,0.0289825069868544
in_house,(missing),dendritic,21,0.00217368802401408
in_house,(missing),T/NK,4407,0.417527238275699
in_house,(missing),other/uncertain,437,0.0414021790620559
in_house,(missing),neutrophil,966,0.0915206063477025
in_house,(missing),monocyte/macrophage,1589,0.150544765513974
in_house,(missing),hepatocyte/tumor epithelial,922,0.0873519658929418
in_house,(missing),B,496,0.046991946944576
in_house,(missing),endothelial,411,0.0389388915206063
in_house,(missing),plasma,57,0.00540028422548555
in_house,(missing),fibroblast/mesenchymal,1127,0.106774040738986
in_house,(missing),mast,88,0.00833728090952156
in_house,(missing),dendritic,55,0.00521080056845097
in_house,(missing),other/uncertain,537,0.0476994137502221
in_house,(missing),monocyte/macrophage,497,0.0441463847930361
in_house,(missing),T/NK,7559,0.671433647184225
in_house,(missing),endothelial,1501,0.133327411618405
in_house,(missing),neutrophil,383,0.034020252265056
in_house,(missing),B,529,0.0469888079587849
in_house,(missing),dendritic,66,0.0058624977793569
in_house,(missing),plasma,73,0.00648427784686445
in_house,(missing),mast,32,0.0028424231657488
in_house,(missing),fibroblast/mesenchymal,81,0.00719488363830165
in_house,(missing),monocyte/macrophage,1966,0.167862021857924
in_house,(missing),neutrophil,2665,0.227544398907104
in_house,(missing),mast,39,0.00332991803278689
in_house,(missing),T/NK,4127,0.352373633879781
in_house,(missing),other/uncertain,922,0.0787226775956284
in_house,(missing),hepatocyte/tumor epithelial,94,0.00802595628415301
in_house,(missing),plasma,852,0.0727459016393443
in_house,(missing),B,562,0.0479849726775956
in_house,(missing),fibroblast/mesenchymal,164,0.0140027322404372
in_house,(missing),endothelial,287,0.024504781420765
in_house,(missing),dendritic,34,0.00290300546448087
in_house,(missing),other/uncertain,180,0.0184067900603334
in_house,(missing),neutrophil,347,0.0354842008385316
in_house,(missing),hepatocyte/tumor epithelial,2446,0.250127824930975
in_house,(missing),T/NK,3535,0.361488904795991
in_house,(missing),monocyte/macrophage,1108,0.11330401881583
in_house,(missing),B,1065,0.108906841190306
in_house,(missing),endothelial,1032,0.105532263012578
in_house,(missing),dendritic,16,0.00163615911647408
in_house,(missing),mast,2,0.00020451988955926
in_house,(missing),plasma,24,0.00245423867471112
in_house,(missing),fibroblast/mesenchymal,24,0.00245423867471112
in_house,(missing),other/uncertain,771,0.0560972060535506
in_house,(missing),neutrophil,314,0.0228463329452852
in_house,(missing),B,1032,0.0750873108265425
in_house,(missing),monocyte/macrophage,531,0.0386350407450524
in_house,(missing),T/NK,9848,0.716530849825378
in_house,(missing),plasma,322,0.0234284051222352
in_house,(missing),hepatocyte/tumor epithelial,166,0.0120779976717113
in_house,(missing),mast,55,0.00400174621653085
in_house,(missing),fibroblast/mesenchymal,237,0.017243888242142
in_house,(missing),endothelial,442,0.0321594877764843
in_house,(missing),dendritic,26,0.00189173457508731
in_house,(missing),other/uncertain,295,0.0311575834389523
in_house,(missing),monocyte/macrophage,2915,0.307879171947613
in_house,(missing),hepatocyte/tumor epithelial,1076,0.113645965356992
in_house,(missing),T/NK,2242,0.236797634136037
in_house,(missing),B,525,0.0554499366286439
in_house,(missing),neutrophil,527,0.0556611744824673
in_house,(missing),plasma,117,0.0123574144486692
in_house,(missing),fibroblast/mesenchymal,498,0.0525982256020279
in_house,(missing),endothelial,1238,0.130756231516688
in_house,(missing),dendritic,17,0.00179552175749894
in_house,(missing),mast,18,0.00190114068441065
in_house,(missing),T/NK,6603,0.558960467281808
in_house,(missing),other/uncertain,620,0.0524845509184797
in_house,(missing),monocyte/macrophage,1028,0.0870227715228985
in_house,(missing),dendritic,71,0.00601032760518073
in_house,(missing),hepatocyte/tumor epithelial,328,0.0277660204859054
in_house,(missing),B,952,0.0805891814103107
in_house,(missing),neutrophil,1556,0.131719292305088
in_house,(missing),plasma,119,0.0100736476762888
in_house,(missing),mast,40,0.00338610005925675
in_house,(missing),fibroblast/mesenchymal,251,0.0212477778718361
in_house,(missing),endothelial,245,0.0207398628629476
in_house,(missing),other/uncertain,452,0.0363694882523334
in_house,(missing),monocyte/macrophage,951,0.0765207595751529
in_house,(missing),T/NK,7656,0.616028323141294
in_house,(missing),B,737,0.0593015770840039
in_house,(missing),dendritic,21,0.00168973286128098
in_house,(missing),neutrophil,1984,0.15963952365626
in_house,(missing),endothelial,57,0.00458641776633408
in_house,(missing),plasma,437,0.0351625362085613
in_house,(missing),hepatocyte/tumor epithelial,97,0.00780495654972642
in_house,(missing),fibroblast/mesenchymal,17,0.00136787898294174
in_house,(missing),mast,19,0.00152880592211136
in_house,(missing),neutrophil,1802,0.13841308856287
in_house,(missing),other/uncertain,608,0.04670097549735
in_house,(missing),T/NK,8726,0.670251171364928
in_house,(missing),hepatocyte/tumor epithelial,253,0.0194331361855749
in_house,(missing),B,608,0.04670097549735
in_house,(missing),monocyte/macrophage,730,0.0560718949228051
in_house,(missing),endothelial,124,0.0095245410553806
in_house,(missing),fibroblast/mesenchymal,51,0.00391735156310008
