dataset,tissue,abundance_eligible,project_broad_celltype,n_cells,n_rescued,n_samples,n_patients,dataset_tissue_total,fraction_within_dataset_tissue
in_house,Tumor,CONDITIONAL,plasma,852,852,1,1,11712,0.0727459016393443
in_house,Tumor,CONDITIONAL,B,562,562,1,1,11712,0.0479849726775956
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,164,164,1,1,11712,0.0140027322404372
in_house,Tumor,CONDITIONAL,endothelial,287,287,1,1,11712,0.024504781420765
in_house,Tumor,CONDITIONAL,dendritic,34,34,1,1,11712,0.00290300546448087
in_house,Tumor,CONDITIONAL,other/uncertain,180,180,1,1,9779,0.0184067900603334
in_house,Tumor,CONDITIONAL,neutrophil,347,347,1,1,9779,0.0354842008385316
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,2446,2446,1,1,9779,0.250127824930975
in_house,Tumor,CONDITIONAL,T/NK,3535,3535,1,1,9779,0.361488904795991
in_house,Tumor,CONDITIONAL,monocyte/macrophage,1108,1108,1,1,9779,0.11330401881583
in_house,Tumor,CONDITIONAL,B,1065,1065,1,1,9779,0.108906841190306
in_house,Tumor,CONDITIONAL,endothelial,1032,1032,1,1,9779,0.105532263012578
in_house,Tumor,CONDITIONAL,dendritic,16,16,1,1,9779,0.00163615911647408
in_house,Tumor,CONDITIONAL,mast,2,2,1,1,9779,0.00020451988955926
in_house,Tumor,CONDITIONAL,plasma,24,24,1,1,9779,0.00245423867471112
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,24,24,1,1,9779,0.00245423867471112
in_house,Tumor,CONDITIONAL,other/uncertain,771,771,1,1,13744,0.0560972060535506
in_house,Tumor,CONDITIONAL,neutrophil,314,314,1,1,13744,0.0228463329452852
in_house,Tumor,CONDITIONAL,B,1032,1032,1,1,13744,0.0750873108265425
in_house,Tumor,CONDITIONAL,monocyte/macrophage,531,531,1,1,13744,0.0386350407450524
in_house,Tumor,CONDITIONAL,T/NK,9848,9848,1,1,13744,0.716530849825378
in_house,Tumor,CONDITIONAL,plasma,322,322,1,1,13744,0.0234284051222352
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,166,166,1,1,13744,0.0120779976717113
in_house,Tumor,CONDITIONAL,mast,55,55,1,1,13744,0.00400174621653085
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,237,237,1,1,13744,0.017243888242142
in_house,Tumor,CONDITIONAL,endothelial,442,442,1,1,13744,0.0321594877764843
in_house,Tumor,CONDITIONAL,dendritic,26,26,1,1,13744,0.00189173457508731
in_house,Tumor,CONDITIONAL,other/uncertain,295,295,1,1,9468,0.0311575834389523
in_house,Tumor,CONDITIONAL,monocyte/macrophage,2915,2915,1,1,9468,0.307879171947613
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,1076,1076,1,1,9468,0.113645965356992
in_house,Tumor,CONDITIONAL,T/NK,2242,2242,1,1,9468,0.236797634136037
in_house,Tumor,CONDITIONAL,B,525,525,1,1,9468,0.0554499366286439
in_house,Tumor,CONDITIONAL,neutrophil,527,527,1,1,9468,0.0556611744824673
in_house,Tumor,CONDITIONAL,plasma,117,117,1,1,9468,0.0123574144486692
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,498,498,1,1,9468,0.0525982256020279
in_house,Tumor,CONDITIONAL,endothelial,1238,1238,1,1,9468,0.130756231516688
in_house,Tumor,CONDITIONAL,dendritic,17,17,1,1,9468,0.00179552175749894
in_house,Tumor,CONDITIONAL,mast,18,18,1,1,9468,0.00190114068441065
in_house,Adjacent,CONDITIONAL,T/NK,6603,6603,1,1,11813,0.558960467281808
in_house,Adjacent,CONDITIONAL,other/uncertain,620,620,1,1,11813,0.0524845509184797
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,1028,1028,1,1,11813,0.0870227715228985
in_house,Adjacent,CONDITIONAL,dendritic,71,71,1,1,11813,0.00601032760518073
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,328,328,1,1,11813,0.0277660204859054
in_house,Adjacent,CONDITIONAL,B,952,952,1,1,11813,0.0805891814103107
in_house,Adjacent,CONDITIONAL,neutrophil,1556,1556,1,1,11813,0.131719292305088
in_house,Adjacent,CONDITIONAL,plasma,119,119,1,1,11813,0.0100736476762888
in_house,Adjacent,CONDITIONAL,mast,40,40,1,1,11813,0.00338610005925675
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,251,251,1,1,11813,0.0212477778718361
in_house,Adjacent,CONDITIONAL,endothelial,245,245,1,1,11813,0.0207398628629476
in_house,Adjacent,CONDITIONAL,other/uncertain,452,452,1,1,12428,0.0363694882523334
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,951,951,1,1,12428,0.0765207595751529
in_house,Adjacent,CONDITIONAL,T/NK,7656,7656,1,1,12428,0.616028323141294
in_house,Adjacent,CONDITIONAL,B,737,737,1,1,12428,0.0593015770840039
in_house,Adjacent,CONDITIONAL,dendritic,21,21,1,1,12428,0.00168973286128098
in_house,Adjacent,CONDITIONAL,neutrophil,1984,1984,1,1,12428,0.15963952365626
in_house,Adjacent,CONDITIONAL,endothelial,57,57,1,1,12428,0.00458641776633408
in_house,Adjacent,CONDITIONAL,plasma,437,437,1,1,12428,0.0351625362085613
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,97,97,1,1,12428,0.00780495654972642
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,17,17,1,1,12428,0.00136787898294174
in_house,Adjacent,CONDITIONAL,mast,19,19,1,1,12428,0.00152880592211136
in_house,Adjacent,CONDITIONAL,neutrophil,1802,1802,1,1,13019,0.13841308856287
in_house,Adjacent,CONDITIONAL,other/uncertain,608,608,1,1,13019,0.04670097549735
in_house,Adjacent,CONDITIONAL,T/NK,8726,8726,1,1,13019,0.670251171364928
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,253,253,1,1,13019,0.0194331361855749
in_house,Adjacent,CONDITIONAL,B,608,608,1,1,13019,0.04670097549735
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,730,730,1,1,13019,0.0560718949228051
in_house,Adjacent,CONDITIONAL,endothelial,124,124,1,1,13019,0.0095245410553806
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,51,51,1,1,13019,0.00391735156310008
in_house,Adjacent,CONDITIONAL,plasma,76,76,1,1,13019,0.00583762193716875
in_house,Adjacent,CONDITIONAL,mast,30,30,1,1,13019,0.0023043244488824
in_house,Adjacent,CONDITIONAL,dendritic,11,11,1,1,13019,0.000844918964590214
in_house,Adjacent,CONDITIONAL,B,790,790,1,1,10778,0.0732974577843756
in_house,Adjacent,CONDITIONAL,neutrophil,515,515,1,1,10778,0.0477825199480423
in_house,Adjacent,CONDITIONAL,other/uncertain,855,855,1,1,10778,0.0793282612729635
in_house,Adjacent,CONDITIONAL,mast,35,35,1,1,10778,0.00324735572462423
in_house,Adjacent,CONDITIONAL,plasma,1061,1061,1,1,10778,0.0984412692521804
in_house,Adjacent,CONDITIONAL,endothelial,1784,1784,1,1,10778,0.165522360363704
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,293,293,1,1,10778,0.0271850064947115
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,523,523,1,1,10778,0.0485247726850993
in_house,Adjacent,CONDITIONAL,T/NK,3929,3929,1,1,10778,0.364538875487103
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,879,879,1,1,10778,0.0815550194841343
in_house,Adjacent,CONDITIONAL,dendritic,114,114,1,1,10778,0.0105771015030618
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,4403,4403,1,1,13857,0.317745543768492
in_house,Adjacent,CONDITIONAL,neutrophil,2435,2435,1,1,13857,0.175723461066609
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,1720,1720,1,1,13857,0.124124990979288
in_house,Adjacent,CONDITIONAL,other/uncertain,428,428,1,1,13857,0.0308869163599625
in_house,Adjacent,CONDITIONAL,B,477,477,1,1,13857,0.0344230352890236
in_house,Adjacent,CONDITIONAL,mast,95,95,1,1,13857,0.00685574078083279
in_house,Adjacent,CONDITIONAL,plasma,100,100,1,1,13857,0.00721656924298189
in_house,Adjacent,CONDITIONAL,T/NK,3542,3542,1,1,13857,0.255610882586418
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,237,237,1,1,13857,0.0171032691058671
in_house,Adjacent,CONDITIONAL,dendritic,38,38,1,1,13857,0.00274229631233312
in_house,Adjacent,CONDITIONAL,endothelial,382,382,1,1,13857,0.0275672945081908
in_house,Adjacent,CONDITIONAL,T/NK,9225,9225,1,1,11836,0.779401824940858
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,532,532,1,1,11836,0.0449476174383238
in_house,Adjacent,CONDITIONAL,other/uncertain,444,444,1,1,11836,0.0375126732004055
in_house,Adjacent,CONDITIONAL,neutrophil,475,475,1,1,11836,0.0401318012842176
in_house,Adjacent,CONDITIONAL,dendritic,77,77,1,1,11836,0.00650557620817844
in_house,Adjacent,CONDITIONAL,B,561,561,1,1,11836,0.0473977695167286
in_house,Adjacent,CONDITIONAL,endothelial,188,188,1,1,11836,0.0158837445082798
in_house,Adjacent,CONDITIONAL,mast,21,21,1,1,11836,0.00177424805677594
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,124,124,1,1,11836,0.0104765123352484
in_house,Adjacent,CONDITIONAL,plasma,121,121,1,1,11836,0.0102230483271375
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,68,68,1,1,11836,0.00574518418384589
in_house,Adjacent,CONDITIONAL,T/NK,9290,9290,1,1,17097,0.543370181903258
in_house,Adjacent,CONDITIONAL,other/uncertain,2390,2390,1,1,17097,0.139790606539159
in_house,Adjacent,CONDITIONAL,plasma,505,505,1,1,17097,0.0295373457331696
in_house,Adjacent,CONDITIONAL,B,1918,1918,1,1,17097,0.112183423992513
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,673,673,1,1,17097,0.0393636310463824
in_house,Adjacent,CONDITIONAL,neutrophil,1564,1564,1,1,17097,0.0914780370825291
in_house,Adjacent,CONDITIONAL,mast,9,9,1,1,17097,0.000526408141779259
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,20,20,1,1,17097,0.00116979587062058
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,386,386,1,1,17097,0.0225770603029771
in_house,Adjacent,CONDITIONAL,dendritic,189,189,1,1,17097,0.0110545709773644
in_house,Adjacent,CONDITIONAL,endothelial,153,153,1,1,17097,0.00894893841024741
in_house,Adjacent,CONDITIONAL,T/NK,9036,9036,1,1,11893,0.759774657361473
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,431,431,1,1,11893,0.0362398049272681
in_house,Adjacent,CONDITIONAL,neutrophil,772,772,1,1,11893,0.0649121331875893
in_house,Adjacent,CONDITIONAL,other/uncertain,395,395,1,1,11893,0.0332128142604894
in_house,Adjacent,CONDITIONAL,plasma,292,292,1,1,11893,0.024552257630539
in_house,Adjacent,CONDITIONAL,mast,7,7,1,1,11893,0.000588581518540318
in_house,Adjacent,CONDITIONAL,B,828,828,1,1,11893,0.0696207853359119
in_house,Adjacent,CONDITIONAL,dendritic,30,30,1,1,11893,0.00252249222231565
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,38,38,1,1,11893,0.00319515681493315
in_house,Adjacent,CONDITIONAL,endothelial,48,48,1,1,11893,0.00403598755570504
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,16,16,1,1,11893,0.00134532918523501
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,632,632,1,1,12706,0.0497402801825909
in_house,Adjacent,CONDITIONAL,other/uncertain,765,765,1,1,12706,0.0602077758539273
in_house,Adjacent,CONDITIONAL,T/NK,8974,8974,1,1,12706,0.706280497402802
in_house,Adjacent,CONDITIONAL,B,719,719,1,1,12706,0.0565874390051944
in_house,Adjacent,CONDITIONAL,plasma,259,259,1,1,12706,0.0203840705178656
in_house,Adjacent,CONDITIONAL,neutrophil,871,871,1,1,12706,0.0685502912010074
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,233,233,1,1,12706,0.0183377931685818
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,86,86,1,1,12706,0.00676845584763104
in_house,Adjacent,CONDITIONAL,mast,31,31,1,1,12706,0.00243979222414607
in_house,Adjacent,CONDITIONAL,dendritic,27,27,1,1,12706,0.00212498032425626
in_house,Adjacent,CONDITIONAL,endothelial,109,109,1,1,12706,0.00857862427199748
in_house,Adjacent,CONDITIONAL,other/uncertain,843,843,1,1,10439,0.0807548615767794
in_house,Adjacent,CONDITIONAL,neutrophil,2086,2086,1,1,10439,0.199827569690583
in_house,Adjacent,CONDITIONAL,monocyte/macrophage,1031,1031,1,1,10439,0.098764249449181
in_house,Adjacent,CONDITIONAL,mast,55,55,1,1,10439,0.00526870389884089
in_house,Adjacent,CONDITIONAL,T/NK,3997,3997,1,1,10439,0.382891081521219
in_house,Adjacent,CONDITIONAL,B,683,683,1,1,10439,0.0654277229619695
in_house,Adjacent,CONDITIONAL,endothelial,611,611,1,1,10439,0.0585305105853051
in_house,Adjacent,CONDITIONAL,plasma,220,220,1,1,10439,0.0210748155953635
in_house,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,373,373,1,1,10439,0.0357313918957755
in_house,Adjacent,CONDITIONAL,fibroblast/mesenchymal,481,481,1,1,10439,0.0460772104607721
in_house,Adjacent,CONDITIONAL,dendritic,59,59,1,1,10439,0.00565188236421113
nature_xue,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,135363,0,80,77,612344,0.221057118221131
nature_xue,Tumor,CONDITIONAL,B,67785,0,82,79,612344,0.110697581751434
nature_xue,Tumor,CONDITIONAL,T/NK,227705,0,81,78,612344,0.371857975255739
nature_xue,Tumor,CONDITIONAL,fibroblast/mesenchymal,23880,0,81,78,612344,0.0389976875743046
nature_xue,Tumor,CONDITIONAL,monocyte/macrophage,68612,0,82,79,612344,0.112048129809388
nature_xue,Tumor,CONDITIONAL,other/uncertain,8548,0,82,79,612344,0.0139594737598474
nature_xue,Tumor,CONDITIONAL,endothelial,51680,0,82,79,612344,0.0843970056046928
nature_xue,Tumor,CONDITIONAL,neutrophil,9676,0,81,78,612344,0.0158015755849653
nature_xue,Tumor,CONDITIONAL,plasma,16354,0,78,75,612344,0.0267072103262219
nature_xue,Tumor,CONDITIONAL,mast,1241,0,66,64,612344,0.00202663862142848
nature_xue,Tumor,CONDITIONAL,dendritic,1500,0,73,72,612344,0.00244960349084828
nature_xue,Adjacent,CONDITIONAL,other/uncertain,1451,0,10,10,63195,0.0229606772687713
nature_xue,Adjacent,CONDITIONAL,neutrophil,6559,0,10,10,63195,0.103789856792468
nature_xue,Adjacent,CONDITIONAL,T/NK,36351,0,10,10,63195,0.575219558509376
nature_xue,Adjacent,CONDITIONAL,B,4323,0,10,10,63195,0.0684073107049608
nature_xue,Adjacent,CONDITIONAL,monocyte/macrophage,8196,0,10,10,63195,0.129693804889627
nature_xue,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,1258,0,10,10,63195,0.0199066381834006
nature_xue,Adjacent,CONDITIONAL,endothelial,3631,0,10,10,63195,0.0574570773004193
nature_xue,Adjacent,CONDITIONAL,plasma,604,0,10,10,63195,0.00955771817390616
nature_xue,Adjacent,CONDITIONAL,fibroblast/mesenchymal,559,0,10,10,63195,0.00884563652187673
nature_xue,Adjacent,CONDITIONAL,dendritic,158,0,10,10,63195,0.0025001978004589
nature_xue,Adjacent,CONDITIONAL,mast,105,0,10,10,63195,0.00166152385473534
