dataset,tissue,abundance_eligible,project_broad_celltype,n_cells,n_rescued,n_samples,n_patients,dataset_tissue_total,fraction_within_dataset_tissue
CRA002308,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,30,30,1,1,10719,0.00279876854184159
CRA002308,Adjacent,CONDITIONAL,mast,19,19,1,1,10719,0.00177255340983301
CRA002308,Adjacent,CONDITIONAL,plasma,35,35,1,1,10719,0.00326522996548185
CRA002308,Adjacent,CONDITIONAL,fibroblast/mesenchymal,2,2,1,1,10719,0.000186584569456106
CRA002308,Adjacent,CONDITIONAL,T/NK,4358,4358,1,1,6541,0.666258981807063
CRA002308,Adjacent,CONDITIONAL,neutrophil,845,845,1,1,6541,0.129185139886867
CRA002308,Adjacent,CONDITIONAL,monocyte/macrophage,614,614,1,1,6541,0.093869438923712
CRA002308,Adjacent,CONDITIONAL,B,336,336,1,1,6541,0.0513682923100443
CRA002308,Adjacent,CONDITIONAL,plasma,37,37,1,1,6541,0.00565662742699893
CRA002308,Adjacent,CONDITIONAL,endothelial,48,48,1,1,6541,0.00733832747286348
CRA002308,Adjacent,CONDITIONAL,other/uncertain,219,219,1,1,6541,0.0334811190949396
CRA002308,Adjacent,CONDITIONAL,mast,49,49,1,1,6541,0.0074912092952148
CRA002308,Adjacent,CONDITIONAL,dendritic,12,12,1,1,6541,0.00183458186821587
CRA002308,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,22,22,1,1,6541,0.00336340009172909
CRA002308,Adjacent,CONDITIONAL,fibroblast/mesenchymal,1,1,1,1,6541,0.000152881822351322
CRA002308,Adjacent,CONDITIONAL,T/NK,7691,7691,1,1,10384,0.740658705701079
CRA002308,Adjacent,CONDITIONAL,B,510,510,1,1,10384,0.0491140215716487
CRA002308,Adjacent,CONDITIONAL,monocyte/macrophage,506,506,1,1,10384,0.048728813559322
CRA002308,Adjacent,CONDITIONAL,plasma,165,165,1,1,10384,0.0158898305084746
CRA002308,Adjacent,CONDITIONAL,other/uncertain,278,278,1,1,10384,0.0267719568567026
CRA002308,Adjacent,CONDITIONAL,neutrophil,1102,1102,1,1,10384,0.106124807395994
CRA002308,Adjacent,CONDITIONAL,mast,6,6,1,1,10384,0.000577812018489985
CRA002308,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,46,46,1,1,10384,0.00442989214175655
CRA002308,Adjacent,CONDITIONAL,dendritic,41,41,1,1,10384,0.00394838212634823
CRA002308,Adjacent,CONDITIONAL,endothelial,39,39,1,1,10384,0.0037557781201849
CRA002308,Adjacent,CONDITIONAL,T/NK,3744,3744,1,1,4811,0.778216586988152
CRA002308,Adjacent,CONDITIONAL,monocyte/macrophage,190,190,1,1,4811,0.0394928289336936
CRA002308,Adjacent,CONDITIONAL,dendritic,3,3,1,1,4811,0.000623570983163584
CRA002308,Adjacent,CONDITIONAL,B,282,282,1,1,4811,0.0586156724173768
CRA002308,Adjacent,CONDITIONAL,neutrophil,401,401,1,1,4811,0.0833506547495323
CRA002308,Adjacent,CONDITIONAL,plasma,59,59,1,1,4811,0.0122635626688838
CRA002308,Adjacent,CONDITIONAL,other/uncertain,86,86,1,1,4811,0.0178757015173561
CRA002308,Adjacent,CONDITIONAL,mast,10,10,1,1,4811,0.00207856994387861
CRA002308,Adjacent,CONDITIONAL,hepatocyte/tumor epithelial,8,8,1,1,4811,0.00166285595510289
CRA002308,Adjacent,CONDITIONAL,endothelial,25,25,1,1,4811,0.00519642485969653
CRA002308,Adjacent,CONDITIONAL,fibroblast/mesenchymal,3,3,1,1,4811,0.000623570983163584
CRA002308,Tumor,CONDITIONAL,B,1373,1373,1,1,12938,0.106121502550626
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,1445,1445,1,1,12938,0.111686504869377
CRA002308,Tumor,CONDITIONAL,T/NK,8839,8839,1,1,12938,0.683181326325553
CRA002308,Tumor,CONDITIONAL,neutrophil,525,525,1,1,12938,0.0405781419075591
CRA002308,Tumor,CONDITIONAL,plasma,199,199,1,1,12938,0.0153810480754367
CRA002308,Tumor,CONDITIONAL,other/uncertain,239,239,1,1,12938,0.0184727160302983
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,275,275,1,1,12938,0.0212552171896738
CRA002308,Tumor,CONDITIONAL,endothelial,28,28,1,1,12938,0.00216416756840315
CRA002308,Tumor,CONDITIONAL,dendritic,9,9,1,1,12938,0.000695625289843871
CRA002308,Tumor,CONDITIONAL,fibroblast/mesenchymal,5,5,1,1,12938,0.000386458494357706
CRA002308,Tumor,CONDITIONAL,mast,1,1,1,1,12938,7.72916988715412e-05
CRA002308,Tumor,CONDITIONAL,B,1403,1403,1,1,12233,0.114689773563312
CRA002308,Tumor,CONDITIONAL,T/NK,8697,8697,1,1,12233,0.710945802337938
CRA002308,Tumor,CONDITIONAL,neutrophil,299,299,1,1,12233,0.024442082890542
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,1012,1012,1,1,12233,0.0827270497833728
CRA002308,Tumor,CONDITIONAL,endothelial,212,212,1,1,12233,0.0173301724842639
CRA002308,Tumor,CONDITIONAL,other/uncertain,299,299,1,1,12233,0.024442082890542
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,194,194,1,1,12233,0.0158587427450339
CRA002308,Tumor,CONDITIONAL,plasma,79,79,1,1,12233,0.00645794163328701
CRA002308,Tumor,CONDITIONAL,dendritic,31,31,1,1,12233,0.00253412899534047
CRA002308,Tumor,CONDITIONAL,fibroblast/mesenchymal,7,7,1,1,12233,0.000572222676367204
CRA002308,Tumor,CONDITIONAL,T/NK,8631,8631,1,1,10562,0.817174777504261
CRA002308,Tumor,CONDITIONAL,plasma,71,71,1,1,10562,0.0067222117023291
CRA002308,Tumor,CONDITIONAL,other/uncertain,95,95,1,1,10562,0.00899450861579246
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,442,442,1,1,10562,0.0418481348229502
CRA002308,Tumor,CONDITIONAL,B,883,883,1,1,10562,0.0836015906078394
CRA002308,Tumor,CONDITIONAL,neutrophil,376,376,1,1,10562,0.035599318310926
CRA002308,Tumor,CONDITIONAL,dendritic,30,30,1,1,10562,0.0028403711418292
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,17,17,1,1,10562,0.00160954364703655
CRA002308,Tumor,CONDITIONAL,endothelial,11,11,1,1,10562,0.00104146941867071
CRA002308,Tumor,CONDITIONAL,mast,6,6,1,1,10562,0.00056807422836584
CRA002308,Tumor,CONDITIONAL,T/NK,9094,9094,1,1,16817,0.540762323838973
CRA002308,Tumor,CONDITIONAL,B,4576,4576,1,1,16817,0.272105607421062
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,1384,1384,1,1,16817,0.0822976749717548
CRA002308,Tumor,CONDITIONAL,other/uncertain,396,396,1,1,16817,0.0235476006422073
CRA002308,Tumor,CONDITIONAL,endothelial,132,132,1,1,16817,0.0078492002140691
CRA002308,Tumor,CONDITIONAL,neutrophil,569,569,1,1,16817,0.0338348100136766
CRA002308,Tumor,CONDITIONAL,plasma,344,344,1,1,16817,0.020455491466968
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,127,127,1,1,16817,0.00755188202414224
CRA002308,Tumor,CONDITIONAL,dendritic,40,40,1,1,16817,0.00237854551941488
CRA002308,Tumor,CONDITIONAL,fibroblast/mesenchymal,122,122,1,1,16817,0.00725456383421538
CRA002308,Tumor,CONDITIONAL,mast,33,33,1,1,16817,0.00196230005351727
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,1528,1528,1,1,9927,0.153923642590914
CRA002308,Tumor,CONDITIONAL,T/NK,3903,3903,1,1,9927,0.393170142036869
CRA002308,Tumor,CONDITIONAL,B,2159,2159,1,1,9927,0.217487659917397
CRA002308,Tumor,CONDITIONAL,neutrophil,853,853,1,1,9927,0.0859272690641684
CRA002308,Tumor,CONDITIONAL,other/uncertain,240,240,1,1,9927,0.024176488365065
CRA002308,Tumor,CONDITIONAL,endothelial,848,848,1,1,9927,0.0854235922232296
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,226,226,1,1,9927,0.0227661932104362
CRA002308,Tumor,CONDITIONAL,plasma,42,42,1,1,9927,0.00423088546388637
CRA002308,Tumor,CONDITIONAL,fibroblast/mesenchymal,61,61,1,1,9927,0.00614485745945401
CRA002308,Tumor,CONDITIONAL,mast,29,29,1,1,9927,0.00292132567744535
CRA002308,Tumor,CONDITIONAL,dendritic,38,38,1,1,9927,0.00382794399113529
CRA002308,Tumor,CONDITIONAL,plasma,1982,1982,1,1,20399,0.0971616255698809
CRA002308,Tumor,CONDITIONAL,B,3596,3596,1,1,20399,0.17628315113486
CRA002308,Tumor,CONDITIONAL,T/NK,6663,6663,1,1,20399,0.326633658512672
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,6288,6288,1,1,20399,0.30825040443159
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,927,927,1,1,20399,0.0454434040884357
CRA002308,Tumor,CONDITIONAL,neutrophil,166,166,1,1,20399,0.00813765380655915
CRA002308,Tumor,CONDITIONAL,dendritic,310,310,1,1,20399,0.0151968233736948
CRA002308,Tumor,CONDITIONAL,other/uncertain,354,354,1,1,20399,0.0173537918525418
CRA002308,Tumor,CONDITIONAL,mast,97,97,1,1,20399,0.00475513505563998
CRA002308,Tumor,CONDITIONAL,endothelial,15,15,1,1,20399,0.000735330163243296
CRA002308,Tumor,CONDITIONAL,fibroblast/mesenchymal,1,1,1,1,20399,4.90220108828864e-05
CRA002308,Tumor,CONDITIONAL,T/NK,5432,5432,1,1,8722,0.622792937399679
CRA002308,Tumor,CONDITIONAL,B,825,825,1,1,8722,0.0945883971566155
CRA002308,Tumor,CONDITIONAL,endothelial,62,62,1,1,8722,0.00710846136207292
CRA002308,Tumor,CONDITIONAL,neutrophil,579,579,1,1,8722,0.0663838569135519
CRA002308,Tumor,CONDITIONAL,other/uncertain,252,252,1,1,8722,0.028892455858748
CRA002308,Tumor,CONDITIONAL,monocyte/macrophage,1341,1341,1,1,8722,0.15374914010548
CRA002308,Tumor,CONDITIONAL,mast,53,53,1,1,8722,0.00607658793854621
CRA002308,Tumor,CONDITIONAL,plasma,62,62,1,1,8722,0.00710846136207292
CRA002308,Tumor,CONDITIONAL,fibroblast/mesenchymal,40,40,1,1,8722,0.00458610410456317
CRA002308,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,70,70,1,1,8722,0.00802568218298555
CRA002308,Tumor,CONDITIONAL,dendritic,6,6,1,1,8722,0.000687915615684476
in_house,Tumor,CONDITIONAL,other/uncertain,338,338,1,1,11605,0.0291253769926756
in_house,Tumor,CONDITIONAL,T/NK,5111,5111,1,1,11605,0.440413614821198
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,1311,1311,1,1,11605,0.112968548039638
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,1406,1406,1,1,11605,0.121154674709177
in_house,Tumor,CONDITIONAL,monocyte/macrophage,334,334,1,1,11605,0.0287806979750108
in_house,Tumor,CONDITIONAL,B,1097,1097,1,1,11605,0.0945282205945713
in_house,Tumor,CONDITIONAL,dendritic,62,62,1,1,11605,0.00534252477380439
in_house,Tumor,CONDITIONAL,endothelial,1696,1696,1,1,11605,0.146143903489875
in_house,Tumor,CONDITIONAL,plasma,97,97,1,1,11605,0.00835846617837139
in_house,Tumor,CONDITIONAL,mast,72,72,1,1,11605,0.00620422231796639
in_house,Tumor,CONDITIONAL,neutrophil,81,81,1,1,11605,0.00697975010771219
in_house,Tumor,CONDITIONAL,other/uncertain,506,506,1,1,13746,0.0368107085697658
in_house,Tumor,CONDITIONAL,plasma,3739,3739,1,1,13746,0.27200640186236
in_house,Tumor,CONDITIONAL,monocyte/macrophage,3848,3848,1,1,13746,0.2799359813764
in_house,Tumor,CONDITIONAL,neutrophil,2321,2321,1,1,13746,0.168849119743926
in_house,Tumor,CONDITIONAL,B,466,466,1,1,13746,0.0339007711334206
in_house,Tumor,CONDITIONAL,T/NK,2789,2789,1,1,13746,0.202895387749163
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,53,53,1,1,13746,0.00385566710315728
in_house,Tumor,CONDITIONAL,endothelial,20,20,1,1,13746,0.00145496871817256
in_house,Tumor,CONDITIONAL,dendritic,1,1,1,1,13746,7.2748435908628e-05
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,3,3,1,1,13746,0.000218245307725884
in_house,Tumor,CONDITIONAL,monocyte/macrophage,4096,4096,1,1,6322,0.647896235368554
in_house,Tumor,CONDITIONAL,neutrophil,1605,1605,1,1,6322,0.253875355900032
in_house,Tumor,CONDITIONAL,other/uncertain,478,478,1,1,6322,0.0756089844985764
in_house,Tumor,CONDITIONAL,B,76,76,1,1,6322,0.01202151217969
in_house,Tumor,CONDITIONAL,plasma,9,9,1,1,6322,0.00142360012654223
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,35,35,1,1,6322,0.00553622271433091
in_house,Tumor,CONDITIONAL,T/NK,19,19,1,1,6322,0.00300537804492249
in_house,Tumor,CONDITIONAL,dendritic,1,1,1,1,6322,0.000158177791838026
in_house,Tumor,CONDITIONAL,endothelial,3,3,1,1,6322,0.000474533375514078
in_house,Tumor,CONDITIONAL,neutrophil,499,499,1,1,9661,0.0516509678087155
in_house,Tumor,CONDITIONAL,other/uncertain,567,567,1,1,9661,0.0586895766483801
in_house,Tumor,CONDITIONAL,monocyte/macrophage,240,240,1,1,9661,0.0248421488458752
in_house,Tumor,CONDITIONAL,plasma,1203,1203,1,1,9661,0.124521271089949
in_house,Tumor,CONDITIONAL,mast,21,21,1,1,9661,0.00217368802401408
in_house,Tumor,CONDITIONAL,B,609,609,1,1,9661,0.0630369526964083
in_house,Tumor,CONDITIONAL,T/NK,5478,5478,1,1,9661,0.567022047407101
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,127,127,1,1,9661,0.0131456370976089
in_house,Tumor,CONDITIONAL,endothelial,616,616,1,1,9661,0.0637615153710796
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,280,280,1,1,9661,0.0289825069868544
in_house,Tumor,CONDITIONAL,dendritic,21,21,1,1,9661,0.00217368802401408
in_house,Tumor,CONDITIONAL,T/NK,4407,4407,1,1,10555,0.417527238275699
in_house,Tumor,CONDITIONAL,other/uncertain,437,437,1,1,10555,0.0414021790620559
in_house,Tumor,CONDITIONAL,neutrophil,966,966,1,1,10555,0.0915206063477025
in_house,Tumor,CONDITIONAL,monocyte/macrophage,1589,1589,1,1,10555,0.150544765513974
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,922,922,1,1,10555,0.0873519658929418
in_house,Tumor,CONDITIONAL,B,496,496,1,1,10555,0.046991946944576
in_house,Tumor,CONDITIONAL,endothelial,411,411,1,1,10555,0.0389388915206063
in_house,Tumor,CONDITIONAL,plasma,57,57,1,1,10555,0.00540028422548555
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,1127,1127,1,1,10555,0.106774040738986
in_house,Tumor,CONDITIONAL,mast,88,88,1,1,10555,0.00833728090952156
in_house,Tumor,CONDITIONAL,dendritic,55,55,1,1,10555,0.00521080056845097
in_house,Tumor,CONDITIONAL,other/uncertain,537,537,1,1,11258,0.0476994137502221
in_house,Tumor,CONDITIONAL,monocyte/macrophage,497,497,1,1,11258,0.0441463847930361
in_house,Tumor,CONDITIONAL,T/NK,7559,7559,1,1,11258,0.671433647184225
in_house,Tumor,CONDITIONAL,endothelial,1501,1501,1,1,11258,0.133327411618405
in_house,Tumor,CONDITIONAL,neutrophil,383,383,1,1,11258,0.034020252265056
in_house,Tumor,CONDITIONAL,B,529,529,1,1,11258,0.0469888079587849
in_house,Tumor,CONDITIONAL,dendritic,66,66,1,1,11258,0.0058624977793569
in_house,Tumor,CONDITIONAL,plasma,73,73,1,1,11258,0.00648427784686445
in_house,Tumor,CONDITIONAL,mast,32,32,1,1,11258,0.0028424231657488
in_house,Tumor,CONDITIONAL,fibroblast/mesenchymal,81,81,1,1,11258,0.00719488363830165
in_house,Tumor,CONDITIONAL,monocyte/macrophage,1966,1966,1,1,11712,0.167862021857924
in_house,Tumor,CONDITIONAL,neutrophil,2665,2665,1,1,11712,0.227544398907104
in_house,Tumor,CONDITIONAL,mast,39,39,1,1,11712,0.00332991803278689
in_house,Tumor,CONDITIONAL,T/NK,4127,4127,1,1,11712,0.352373633879781
in_house,Tumor,CONDITIONAL,other/uncertain,922,922,1,1,11712,0.0787226775956284
in_house,Tumor,CONDITIONAL,hepatocyte/tumor epithelial,94,94,1,1,11712,0.00802595628415301
