dataset,sample_id,patient_id,tissue,abundance_eligible,n_cells,n_neutrophil,n_neutrophil_high,n_neutrophil_medium,n_ambiguous_myeloid,n_rescued,n_rescued_neutrophil,n_patients,summary_level,neutrophil_fraction,rescued_fraction
GSE242889,GSM7774399,case_1,Tumor,YES,4884,148,127,21,60,683,20,1,patient_tissue,0.0303030303030303,0.13984438984439
GSE242889,GSM7774400,case_2,Tumor,YES,5518,2,1,1,1,574,2,1,sample,0.000362450163102573,0.104023196810439
GSE242889,GSM7774400,case_2,Tumor,YES,5518,2,1,1,1,574,2,1,patient_tissue,0.000362450163102573,0.104023196810439
GSE242889,GSM7774401,case_3,Tumor,YES,4540,49,46,3,21,358,8,1,sample,0.0107929515418502,0.0788546255506608
GSE242889,GSM7774401,case_3,Tumor,YES,4540,49,46,3,21,358,8,1,patient_tissue,0.0107929515418502,0.0788546255506608
GSE242889,GSM7774402,case_4,Tumor,YES,6028,9,9,0,2,1020,2,1,sample,0.00149303251493033,0.169210351692104
GSE242889,GSM7774402,case_4,Tumor,YES,6028,9,9,0,2,1020,2,1,patient_tissue,0.00149303251493033,0.169210351692104
GSE242889,GSM7774403,case_5,Tumor,YES,5581,114,104,10,19,587,26,1,sample,0.0204264468733202,0.105178283461745
GSE242889,GSM7774403,case_5,Tumor,YES,5581,114,104,10,19,587,26,1,patient_tissue,0.0204264468733202,0.105178283461745
GSE282701,GSM8649020,P15,Tumor,YES,18060,280,168,112,91,417,44,1,sample,0.0155038759689922,0.0230897009966777
GSE282701,GSM8649020,P15,Tumor,YES,18060,280,168,112,91,417,44,1,patient_tissue,0.0155038759689922,0.0230897009966777
GSE282701,GSM8649021,P15,Adjacent,YES,10841,1093,522,571,322,131,55,1,sample,0.100820957476248,0.0120837561110599
GSE282701,GSM8649021,P15,Adjacent,YES,10841,1093,522,571,322,131,55,1,patient_tissue,0.100820957476248,0.0120837561110599
GSE282701,GSM8649022,P14,Tumor,YES,10024,145,127,18,69,397,42,1,sample,0.0144652833200319,0.0396049481245012
GSE282701,GSM8649022,P14,Tumor,YES,10024,145,127,18,69,397,42,1,patient_tissue,0.0144652833200319,0.0396049481245012
GSE282701,GSM8649023,P14,Adjacent,YES,10791,1038,673,365,350,477,141,1,sample,0.0961912705031971,0.0442035029190992
GSE282701,GSM8649023,P14,Adjacent,YES,10791,1038,673,365,350,477,141,1,patient_tissue,0.0961912705031971,0.0442035029190992
GSE282701,GSM8649024,P13,Tumor,YES,12087,138,42,96,252,2393,30,1,sample,0.0114172251178953,0.197981302225532
GSE282701,GSM8649024,P13,Tumor,YES,12087,138,42,96,252,2393,30,1,patient_tissue,0.0114172251178953,0.197981302225532
GSE282701,GSM8649025,P13,Adjacent,YES,11420,84,33,51,51,639,10,1,sample,0.00735551663747811,0.0559544658493871
GSE282701,GSM8649025,P13,Adjacent,YES,11420,84,33,51,51,639,10,1,patient_tissue,0.00735551663747811,0.0559544658493871
