dataset,sample_id,patient_id,tissue,abundance_eligible,n_cells,n_neutrophil,n_neutrophil_high,n_neutrophil_medium,n_ambiguous_myeloid,n_rescued,n_rescued_neutrophil,n_patients,summary_level,neutrophil_fraction,rescued_fraction
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,10642,64,25,39,119,0,0,1,sample,0.00601390716030821,0
nature_xue,A013_HCC,nature_xue_A013,Tumor,CONDITIONAL,7500,91,64,27,58,0,0,1,sample,0.0121333333333333,0
nature_xue,A013_HCC_N,nature_xue_A013,Adjacent,CONDITIONAL,12040,323,123,200,187,0,0,1,sample,0.0268272425249169,0
nature_xue,A014_HCC,nature_xue_A014,Tumor,CONDITIONAL,5681,5,4,1,9,0,0,1,sample,0.000880126738250308,0
nature_xue,A016_HCC,nature_xue_A016,Tumor,CONDITIONAL,8456,41,7,34,303,0,0,1,sample,0.00484862819299905,0
nature_xue,A017_HCC,nature_xue_A017,Tumor,CONDITIONAL,10944,34,24,10,62,0,0,1,sample,0.00310672514619883,0
nature_xue,A018_HCC,nature_xue_A018,Tumor,CONDITIONAL,10042,27,1,26,133,0,0,1,sample,0.00268870742879904,0
nature_xue,A024_HCC,nature_xue_A024,Tumor,CONDITIONAL,9868,160,77,83,281,0,0,1,sample,0.016214025131739,0
nature_xue,A026_HCC,nature_xue_A026,Tumor,CONDITIONAL,9651,40,18,22,106,0,0,1,sample,0.00414464822298207,0
nature_xue,A027_HCC,nature_xue_A027,Tumor,CONDITIONAL,11800,624,228,396,310,0,0,1,sample,0.0528813559322034,0
nature_xue,A028_HCC,nature_xue_A028,Tumor,CONDITIONAL,3521,20,6,14,31,0,0,1,sample,0.00568020448736155,0
nature_xue,A029_HCC,nature_xue_A029,Tumor,CONDITIONAL,8126,199,21,178,224,0,0,1,sample,0.0244892936254,0
nature_xue,A030_HCC,nature_xue_A030,Tumor,CONDITIONAL,7343,74,43,31,42,0,0,1,sample,0.010077624948931,0
nature_xue,A031_HCC,nature_xue_A031,Tumor,CONDITIONAL,8423,49,40,9,28,0,0,1,sample,0.00581740472515731,0
nature_xue,A033_HCC,nature_xue_A033,Tumor,CONDITIONAL,7207,111,66,45,127,0,0,1,sample,0.015401692798668,0
nature_xue,A034_HCC,nature_xue_A034,Tumor,CONDITIONAL,3788,18,10,8,26,0,0,1,sample,0.00475184794086589,0
nature_xue,A035_HCC,nature_xue_A035,Tumor,CONDITIONAL,11431,71,31,40,180,0,0,1,sample,0.0062111801242236,0
nature_xue,A037_HCC,nature_xue_A037,Tumor,CONDITIONAL,9915,30,16,14,69,0,0,1,sample,0.00302571860816944,0
nature_xue,A039_HCC,nature_xue_A039,Tumor,CONDITIONAL,10490,24,11,13,74,0,0,1,sample,0.00228789323164919,0
nature_xue,A043_HCC,nature_xue_A043,Tumor,CONDITIONAL,9019,24,13,11,115,0,0,1,sample,0.00266104889677348,0
nature_xue,A044_HCC,nature_xue_A044,Tumor,CONDITIONAL,8306,34,11,23,58,0,0,1,sample,0.004093426438719,0
nature_xue,A046_HCC,nature_xue_A046,Tumor,CONDITIONAL,11301,47,4,43,277,0,0,1,sample,0.00415892398902752,0
nature_xue,A047_HCC,nature_xue_A047,Tumor,CONDITIONAL,10613,228,41,187,363,0,0,1,sample,0.0214830867803637,0
nature_xue,A049_HCC,nature_xue_A049,Tumor,CONDITIONAL,3549,0,0,0,4,0,0,1,sample,0,0
nature_xue,A050_HCC,nature_xue_A050,Tumor,CONDITIONAL,12261,31,25,6,7,0,0,1,sample,0.00252834189707202,0
nature_xue,A051_HCC,nature_xue_A051,Tumor,CONDITIONAL,9123,35,20,15,24,0,0,1,sample,0.00383645730571084,0
nature_xue,A054_HCC,nature_xue_A054,Tumor,CONDITIONAL,11891,105,40,65,172,0,0,1,sample,0.00883020772012446,0
nature_xue,A055_HCC,nature_xue_A055,Tumor,CONDITIONAL,9345,54,33,21,134,0,0,1,sample,0.0057784911717496,0
nature_xue,A056_HCC,nature_xue_A056,Tumor,CONDITIONAL,8756,379,39,340,409,0,0,1,sample,0.0432846048423938,0
nature_xue,A057_HCC,nature_xue_A057,Tumor,CONDITIONAL,8436,96,9,87,230,0,0,1,sample,0.0113798008534851,0
nature_xue,A058_HCC,nature_xue_A058,Tumor,CONDITIONAL,5885,233,49,184,144,0,0,1,sample,0.0395921835174172,0
nature_xue,A059_HCC,nature_xue_A059,Tumor,CONDITIONAL,6780,49,45,4,27,0,0,1,sample,0.00722713864306785,0
nature_xue,A061_HCC,nature_xue_A061,Tumor,CONDITIONAL,6689,952,767,185,287,0,0,1,sample,0.142323217222305,0
nature_xue,A063_HCC,nature_xue_A063,Tumor,CONDITIONAL,5654,420,132,288,169,0,0,1,sample,0.0742836929607358,0
nature_xue,A064_HCC,nature_xue_A064,Tumor,CONDITIONAL,8457,60,30,30,118,0,0,1,sample,0.00709471443774388,0
nature_xue,A065_HCC,nature_xue_A065,Tumor,CONDITIONAL,10571,43,16,27,64,0,0,1,sample,0.00406773247564091,0
nature_xue,A068_HCC,nature_xue_A068,Tumor,CONDITIONAL,12878,714,109,605,360,0,0,1,sample,0.0554433918310297,0
nature_xue,A069_HCC,nature_xue_A069,Tumor,CONDITIONAL,7852,161,105,56,149,0,0,1,sample,0.0205043301069791,0
nature_xue,A070_HCC,nature_xue_A070,Tumor,CONDITIONAL,7865,93,5,88,156,0,0,1,sample,0.0118245390972664,0
nature_xue,A071_HCC,nature_xue_A071,Tumor,CONDITIONAL,6115,54,37,17,53,0,0,1,sample,0.00883074407195421,0
nature_xue,A072_HCC,nature_xue_A072,Tumor,CONDITIONAL,8027,67,25,42,342,0,0,1,sample,0.00834682945060421,0
nature_xue,A074_HCC,nature_xue_A074,Tumor,CONDITIONAL,8452,143,75,68,138,0,0,1,sample,0.0169190724088973,0
nature_xue,A074_HCC_IM,nature_xue_A074,Tumor,CONDITIONAL,9592,69,12,57,164,0,0,1,sample,0.00719349457881568,0
nature_xue,A076_HCC,nature_xue_A076,Tumor,CONDITIONAL,8394,73,1,72,237,0,0,1,sample,0.00869668811055516,0
nature_xue,A079_HCC,nature_xue_A079,Tumor,CONDITIONAL,6998,143,74,69,311,0,0,1,sample,0.0204344098313804,0
nature_xue,A080_HCC,nature_xue_A080,Tumor,CONDITIONAL,4424,20,0,20,80,0,0,1,sample,0.00452079566003617,0
nature_xue,A082_HCC,nature_xue_A082,Tumor,CONDITIONAL,4357,17,12,5,19,0,0,1,sample,0.00390176727105807,0
nature_xue,A083_HCC,nature_xue_A083,Tumor,CONDITIONAL,11715,57,18,39,280,0,0,1,sample,0.00486555697823304,0
nature_xue,A085_HCC,nature_xue_A085,Tumor,CONDITIONAL,6037,71,10,61,316,0,0,1,sample,0.0117608083485175,0
nature_xue,A086_HCC,nature_xue_A086,Tumor,CONDITIONAL,5807,84,55,29,51,0,0,1,sample,0.0144653004993973,0
nature_xue,A087_HCC,nature_xue_A087,Tumor,CONDITIONAL,9464,95,50,45,75,0,0,1,sample,0.0100380388841927,0
nature_xue,A088_HCC,nature_xue_A088,Tumor,CONDITIONAL,5157,21,18,3,25,0,0,1,sample,0.00407213496218732,0
nature_xue,A089_HCC,nature_xue_A089,Tumor,CONDITIONAL,4629,5,5,0,37,0,0,1,sample,0.0010801468999784,0
nature_xue,A090_HCC,nature_xue_A090,Tumor,CONDITIONAL,7664,118,67,51,167,0,0,1,sample,0.0153966597077244,0
nature_xue,A091_HCC,nature_xue_A091,Tumor,CONDITIONAL,8991,97,26,71,288,0,0,1,sample,0.0107885663441219,0
nature_xue,A094_HCC,nature_xue_A094,Tumor,CONDITIONAL,3509,14,14,0,20,0,0,1,sample,0.00398974066685665,0
nature_xue,A095_HCC,nature_xue_A095,Tumor,CONDITIONAL,5318,89,20,69,195,0,0,1,sample,0.0167356148928168,0
nature_xue,A096_HCC,nature_xue_A096,Tumor,CONDITIONAL,8189,69,8,61,277,0,0,1,sample,0.00842593723287337,0
nature_xue,A097_HCC,nature_xue_A097,Tumor,CONDITIONAL,7277,80,63,17,95,0,0,1,sample,0.0109935412944895,0
nature_xue,A098_HCC,nature_xue_A098,Tumor,CONDITIONAL,7116,172,88,84,175,0,0,1,sample,0.0241708825182687,0
nature_xue,A099_HCC,nature_xue_A099,Tumor,CONDITIONAL,4514,212,142,70,138,0,0,1,sample,0.0469649977846699,0
nature_xue,A100_HCC,nature_xue_A100,Tumor,CONDITIONAL,5937,83,31,52,120,0,0,1,sample,0.0139801246420751,0
nature_xue,A101_HCC,nature_xue_A101,Tumor,CONDITIONAL,7705,48,24,24,148,0,0,1,sample,0.00622972096041532,0
nature_xue,A102_HCC,nature_xue_A102,Tumor,CONDITIONAL,4162,427,122,305,196,0,0,1,sample,0.10259490629505,0
nature_xue,A103_HCC,nature_xue_A103,Tumor,CONDITIONAL,8414,83,60,23,45,0,0,1,sample,0.00986451152840504,0
nature_xue,A105_HCC,nature_xue_A105,Tumor,CONDITIONAL,179,12,2,10,5,0,0,1,sample,0.0670391061452514,0
nature_xue,A106_HCC,nature_xue_A106,Tumor,CONDITIONAL,3300,3,0,3,29,0,0,1,sample,0.000909090909090909,0
nature_xue,A107_HCC,nature_xue_A107,Tumor,CONDITIONAL,7470,148,74,74,151,0,0,1,sample,0.0198125836680054,0
nature_xue,A108_HCC,nature_xue_A108,Tumor,CONDITIONAL,8632,70,24,46,94,0,0,1,sample,0.00810936051899907,0
nature_xue,A109_HCC,nature_xue_A109,Tumor,CONDITIONAL,7497,274,200,74,143,0,0,1,sample,0.0365479525143391,0
nature_xue,A110_HCC,nature_xue_A110,Tumor,CONDITIONAL,7895,2,2,0,5,0,0,1,sample,0.000253324889170361,0
nature_xue,A113_HCC,nature_xue_A113,Tumor,CONDITIONAL,8025,32,8,24,119,0,0,1,sample,0.00398753894080997,0
nature_xue,A114_HCC,nature_xue_A114,Tumor,CONDITIONAL,4126,83,60,23,47,0,0,1,sample,0.0201163354338342,0
nature_xue,A114_HCC_N,nature_xue_A114,Adjacent,CONDITIONAL,6002,474,178,296,144,0,0,1,sample,0.0789736754415195,0
nature_xue,A116_HCC,nature_xue_A116,Tumor,CONDITIONAL,6864,68,16,52,203,0,0,1,sample,0.00990675990675991,0
nature_xue,A116_HCC_N,nature_xue_A116,Adjacent,CONDITIONAL,5594,133,38,95,95,0,0,1,sample,0.0237754737218448,0
nature_xue,A117_HCC,nature_xue_A117,Tumor,CONDITIONAL,2345,12,10,2,26,0,0,1,sample,0.00511727078891258,0
nature_xue,A117_HCC_N,nature_xue_A117,Adjacent,CONDITIONAL,5362,112,52,60,153,0,0,1,sample,0.02088772845953,0
nature_xue,A119_HCC,nature_xue_A119,Tumor,CONDITIONAL,5289,33,14,19,153,0,0,1,sample,0.00623936471922859,0
nature_xue,A119_HCC_IM1,nature_xue_A119,Tumor,CONDITIONAL,5795,134,116,18,168,0,0,1,sample,0.0231233822260569,0
nature_xue,A119_HCC_IM2,nature_xue_A119,Tumor,CONDITIONAL,6775,125,83,42,217,0,0,1,sample,0.018450184501845,0
nature_xue,A119_HCC_N,nature_xue_A119,Adjacent,CONDITIONAL,4898,615,466,149,139,0,0,1,sample,0.125561453654553,0
nature_xue,A120_HCC,nature_xue_A120,Tumor,CONDITIONAL,4699,155,96,59,55,0,0,1,sample,0.032985741647159,0
nature_xue,A120_HCC_N,nature_xue_A120,Adjacent,CONDITIONAL,5278,169,18,151,195,0,0,1,sample,0.0320197044334975,0
nature_xue,A121_HCC,nature_xue_A121,Tumor,CONDITIONAL,3387,3,2,1,29,0,0,1,sample,0.000885739592559787,0
nature_xue,A121_HCC_N,nature_xue_A121,Adjacent,CONDITIONAL,4909,1090,805,285,192,0,0,1,sample,0.222041148910165,0
nature_xue,A122_HCC,nature_xue_A122,Tumor,CONDITIONAL,5210,96,41,55,152,0,0,1,sample,0.018426103646833,0
nature_xue,A122_HCC_N,nature_xue_A122,Adjacent,CONDITIONAL,8421,224,118,106,172,0,0,1,sample,0.0266001662510391,0
nature_xue,A123_HCC,nature_xue_A123,Tumor,CONDITIONAL,8910,521,369,152,287,0,0,1,sample,0.0584736251402918,0
nature_xue,A123_HCC_N,nature_xue_A123,Adjacent,CONDITIONAL,5678,2058,1777,281,230,0,0,1,sample,0.362451567453329,0
nature_xue,A124_HCC,nature_xue_A124,Tumor,CONDITIONAL,7923,54,40,14,224,0,0,1,sample,0.00681560015145778,0
nature_xue,A124_HCC_N,nature_xue_A124,Adjacent,CONDITIONAL,5013,1361,1043,318,211,0,0,1,sample,0.271494115300219,0
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,10642,64,25,39,119,0,0,1,patient_tissue,0.00601390716030821,0
nature_xue,A013_HCC,nature_xue_A013,Tumor,CONDITIONAL,7500,91,64,27,58,0,0,1,patient_tissue,0.0121333333333333,0
nature_xue,A013_HCC_N,nature_xue_A013,Adjacent,CONDITIONAL,12040,323,123,200,187,0,0,1,patient_tissue,0.0268272425249169,0
nature_xue,A014_HCC,nature_xue_A014,Tumor,CONDITIONAL,5681,5,4,1,9,0,0,1,patient_tissue,0.000880126738250308,0
nature_xue,A016_HCC,nature_xue_A016,Tumor,CONDITIONAL,8456,41,7,34,303,0,0,1,patient_tissue,0.00484862819299905,0
nature_xue,A017_HCC,nature_xue_A017,Tumor,CONDITIONAL,10944,34,24,10,62,0,0,1,patient_tissue,0.00310672514619883,0
nature_xue,A018_HCC,nature_xue_A018,Tumor,CONDITIONAL,10042,27,1,26,133,0,0,1,patient_tissue,0.00268870742879904,0
nature_xue,A024_HCC,nature_xue_A024,Tumor,CONDITIONAL,9868,160,77,83,281,0,0,1,patient_tissue,0.016214025131739,0
nature_xue,A026_HCC,nature_xue_A026,Tumor,CONDITIONAL,9651,40,18,22,106,0,0,1,patient_tissue,0.00414464822298207,0
nature_xue,A027_HCC,nature_xue_A027,Tumor,CONDITIONAL,11800,624,228,396,310,0,0,1,patient_tissue,0.0528813559322034,0
nature_xue,A028_HCC,nature_xue_A028,Tumor,CONDITIONAL,3521,20,6,14,31,0,0,1,patient_tissue,0.00568020448736155,0
nature_xue,A029_HCC,nature_xue_A029,Tumor,CONDITIONAL,8126,199,21,178,224,0,0,1,patient_tissue,0.0244892936254,0
nature_xue,A030_HCC,nature_xue_A030,Tumor,CONDITIONAL,7343,74,43,31,42,0,0,1,patient_tissue,0.010077624948931,0
nature_xue,A031_HCC,nature_xue_A031,Tumor,CONDITIONAL,8423,49,40,9,28,0,0,1,patient_tissue,0.00581740472515731,0
nature_xue,A033_HCC,nature_xue_A033,Tumor,CONDITIONAL,7207,111,66,45,127,0,0,1,patient_tissue,0.015401692798668,0
nature_xue,A034_HCC,nature_xue_A034,Tumor,CONDITIONAL,3788,18,10,8,26,0,0,1,patient_tissue,0.00475184794086589,0
nature_xue,A035_HCC,nature_xue_A035,Tumor,CONDITIONAL,11431,71,31,40,180,0,0,1,patient_tissue,0.0062111801242236,0
nature_xue,A037_HCC,nature_xue_A037,Tumor,CONDITIONAL,9915,30,16,14,69,0,0,1,patient_tissue,0.00302571860816944,0
nature_xue,A039_HCC,nature_xue_A039,Tumor,CONDITIONAL,10490,24,11,13,74,0,0,1,patient_tissue,0.00228789323164919,0
nature_xue,A043_HCC,nature_xue_A043,Tumor,CONDITIONAL,9019,24,13,11,115,0,0,1,patient_tissue,0.00266104889677348,0
nature_xue,A044_HCC,nature_xue_A044,Tumor,CONDITIONAL,8306,34,11,23,58,0,0,1,patient_tissue,0.004093426438719,0
nature_xue,A046_HCC,nature_xue_A046,Tumor,CONDITIONAL,11301,47,4,43,277,0,0,1,patient_tissue,0.00415892398902752,0
nature_xue,A047_HCC,nature_xue_A047,Tumor,CONDITIONAL,10613,228,41,187,363,0,0,1,patient_tissue,0.0214830867803637,0
nature_xue,A049_HCC,nature_xue_A049,Tumor,CONDITIONAL,3549,0,0,0,4,0,0,1,patient_tissue,0,0
nature_xue,A050_HCC,nature_xue_A050,Tumor,CONDITIONAL,12261,31,25,6,7,0,0,1,patient_tissue,0.00252834189707202,0
nature_xue,A051_HCC,nature_xue_A051,Tumor,CONDITIONAL,9123,35,20,15,24,0,0,1,patient_tissue,0.00383645730571084,0
nature_xue,A054_HCC,nature_xue_A054,Tumor,CONDITIONAL,11891,105,40,65,172,0,0,1,patient_tissue,0.00883020772012446,0
nature_xue,A055_HCC,nature_xue_A055,Tumor,CONDITIONAL,9345,54,33,21,134,0,0,1,patient_tissue,0.0057784911717496,0
nature_xue,A056_HCC,nature_xue_A056,Tumor,CONDITIONAL,8756,379,39,340,409,0,0,1,patient_tissue,0.0432846048423938,0
nature_xue,A057_HCC,nature_xue_A057,Tumor,CONDITIONAL,8436,96,9,87,230,0,0,1,patient_tissue,0.0113798008534851,0
nature_xue,A058_HCC,nature_xue_A058,Tumor,CONDITIONAL,5885,233,49,184,144,0,0,1,patient_tissue,0.0395921835174172,0
nature_xue,A059_HCC,nature_xue_A059,Tumor,CONDITIONAL,6780,49,45,4,27,0,0,1,patient_tissue,0.00722713864306785,0
nature_xue,A061_HCC,nature_xue_A061,Tumor,CONDITIONAL,6689,952,767,185,287,0,0,1,patient_tissue,0.142323217222305,0
nature_xue,A063_HCC,nature_xue_A063,Tumor,CONDITIONAL,5654,420,132,288,169,0,0,1,patient_tissue,0.0742836929607358,0
nature_xue,A064_HCC,nature_xue_A064,Tumor,CONDITIONAL,8457,60,30,30,118,0,0,1,patient_tissue,0.00709471443774388,0
nature_xue,A065_HCC,nature_xue_A065,Tumor,CONDITIONAL,10571,43,16,27,64,0,0,1,patient_tissue,0.00406773247564091,0
nature_xue,A068_HCC,nature_xue_A068,Tumor,CONDITIONAL,12878,714,109,605,360,0,0,1,patient_tissue,0.0554433918310297,0
nature_xue,A069_HCC,nature_xue_A069,Tumor,CONDITIONAL,7852,161,105,56,149,0,0,1,patient_tissue,0.0205043301069791,0
nature_xue,A070_HCC,nature_xue_A070,Tumor,CONDITIONAL,7865,93,5,88,156,0,0,1,patient_tissue,0.0118245390972664,0
nature_xue,A071_HCC,nature_xue_A071,Tumor,CONDITIONAL,6115,54,37,17,53,0,0,1,patient_tissue,0.00883074407195421,0
nature_xue,A072_HCC,nature_xue_A072,Tumor,CONDITIONAL,8027,67,25,42,342,0,0,1,patient_tissue,0.00834682945060421,0
nature_xue,A074_HCC;A074_HCC_IM,nature_xue_A074,Tumor,CONDITIONAL,18044,212,87,125,302,0,0,1,patient_tissue,0.0117490578585679,0
nature_xue,A076_HCC,nature_xue_A076,Tumor,CONDITIONAL,8394,73,1,72,237,0,0,1,patient_tissue,0.00869668811055516,0
nature_xue,A079_HCC,nature_xue_A079,Tumor,CONDITIONAL,6998,143,74,69,311,0,0,1,patient_tissue,0.0204344098313804,0
nature_xue,A080_HCC,nature_xue_A080,Tumor,CONDITIONAL,4424,20,0,20,80,0,0,1,patient_tissue,0.00452079566003617,0
nature_xue,A082_HCC,nature_xue_A082,Tumor,CONDITIONAL,4357,17,12,5,19,0,0,1,patient_tissue,0.00390176727105807,0
nature_xue,A083_HCC,nature_xue_A083,Tumor,CONDITIONAL,11715,57,18,39,280,0,0,1,patient_tissue,0.00486555697823304,0
nature_xue,A085_HCC,nature_xue_A085,Tumor,CONDITIONAL,6037,71,10,61,316,0,0,1,patient_tissue,0.0117608083485175,0
nature_xue,A086_HCC,nature_xue_A086,Tumor,CONDITIONAL,5807,84,55,29,51,0,0,1,patient_tissue,0.0144653004993973,0
nature_xue,A087_HCC,nature_xue_A087,Tumor,CONDITIONAL,9464,95,50,45,75,0,0,1,patient_tissue,0.0100380388841927,0
nature_xue,A088_HCC,nature_xue_A088,Tumor,CONDITIONAL,5157,21,18,3,25,0,0,1,patient_tissue,0.00407213496218732,0
nature_xue,A089_HCC,nature_xue_A089,Tumor,CONDITIONAL,4629,5,5,0,37,0,0,1,patient_tissue,0.0010801468999784,0
nature_xue,A090_HCC,nature_xue_A090,Tumor,CONDITIONAL,7664,118,67,51,167,0,0,1,patient_tissue,0.0153966597077244,0
nature_xue,A091_HCC,nature_xue_A091,Tumor,CONDITIONAL,8991,97,26,71,288,0,0,1,patient_tissue,0.0107885663441219,0
nature_xue,A094_HCC,nature_xue_A094,Tumor,CONDITIONAL,3509,14,14,0,20,0,0,1,patient_tissue,0.00398974066685665,0
nature_xue,A095_HCC,nature_xue_A095,Tumor,CONDITIONAL,5318,89,20,69,195,0,0,1,patient_tissue,0.0167356148928168,0
nature_xue,A096_HCC,nature_xue_A096,Tumor,CONDITIONAL,8189,69,8,61,277,0,0,1,patient_tissue,0.00842593723287337,0
nature_xue,A097_HCC,nature_xue_A097,Tumor,CONDITIONAL,7277,80,63,17,95,0,0,1,patient_tissue,0.0109935412944895,0
nature_xue,A098_HCC,nature_xue_A098,Tumor,CONDITIONAL,7116,172,88,84,175,0,0,1,patient_tissue,0.0241708825182687,0
nature_xue,A099_HCC,nature_xue_A099,Tumor,CONDITIONAL,4514,212,142,70,138,0,0,1,patient_tissue,0.0469649977846699,0
nature_xue,A100_HCC,nature_xue_A100,Tumor,CONDITIONAL,5937,83,31,52,120,0,0,1,patient_tissue,0.0139801246420751,0
nature_xue,A101_HCC,nature_xue_A101,Tumor,CONDITIONAL,7705,48,24,24,148,0,0,1,patient_tissue,0.00622972096041532,0
nature_xue,A102_HCC,nature_xue_A102,Tumor,CONDITIONAL,4162,427,122,305,196,0,0,1,patient_tissue,0.10259490629505,0
nature_xue,A103_HCC,nature_xue_A103,Tumor,CONDITIONAL,8414,83,60,23,45,0,0,1,patient_tissue,0.00986451152840504,0
nature_xue,A105_HCC,nature_xue_A105,Tumor,CONDITIONAL,179,12,2,10,5,0,0,1,patient_tissue,0.0670391061452514,0
nature_xue,A106_HCC,nature_xue_A106,Tumor,CONDITIONAL,3300,3,0,3,29,0,0,1,patient_tissue,0.000909090909090909,0
nature_xue,A107_HCC,nature_xue_A107,Tumor,CONDITIONAL,7470,148,74,74,151,0,0,1,patient_tissue,0.0198125836680054,0
nature_xue,A108_HCC,nature_xue_A108,Tumor,CONDITIONAL,8632,70,24,46,94,0,0,1,patient_tissue,0.00810936051899907,0
nature_xue,A109_HCC,nature_xue_A109,Tumor,CONDITIONAL,7497,274,200,74,143,0,0,1,patient_tissue,0.0365479525143391,0
nature_xue,A110_HCC,nature_xue_A110,Tumor,CONDITIONAL,7895,2,2,0,5,0,0,1,patient_tissue,0.000253324889170361,0
nature_xue,A113_HCC,nature_xue_A113,Tumor,CONDITIONAL,8025,32,8,24,119,0,0,1,patient_tissue,0.00398753894080997,0
nature_xue,A114_HCC,nature_xue_A114,Tumor,CONDITIONAL,4126,83,60,23,47,0,0,1,patient_tissue,0.0201163354338342,0
nature_xue,A114_HCC_N,nature_xue_A114,Adjacent,CONDITIONAL,6002,474,178,296,144,0,0,1,patient_tissue,0.0789736754415195,0
nature_xue,A116_HCC,nature_xue_A116,Tumor,CONDITIONAL,6864,68,16,52,203,0,0,1,patient_tissue,0.00990675990675991,0
nature_xue,A116_HCC_N,nature_xue_A116,Adjacent,CONDITIONAL,5594,133,38,95,95,0,0,1,patient_tissue,0.0237754737218448,0
nature_xue,A117_HCC,nature_xue_A117,Tumor,CONDITIONAL,2345,12,10,2,26,0,0,1,patient_tissue,0.00511727078891258,0
nature_xue,A117_HCC_N,nature_xue_A117,Adjacent,CONDITIONAL,5362,112,52,60,153,0,0,1,patient_tissue,0.02088772845953,0
nature_xue,A119_HCC;A119_HCC_IM1;A119_HCC_IM2,nature_xue_A119,Tumor,CONDITIONAL,17859,292,213,79,538,0,0,1,patient_tissue,0.0163502995688448,0
nature_xue,A119_HCC_N,nature_xue_A119,Adjacent,CONDITIONAL,4898,615,466,149,139,0,0,1,patient_tissue,0.125561453654553,0
nature_xue,A120_HCC,nature_xue_A120,Tumor,CONDITIONAL,4699,155,96,59,55,0,0,1,patient_tissue,0.032985741647159,0
nature_xue,A120_HCC_N,nature_xue_A120,Adjacent,CONDITIONAL,5278,169,18,151,195,0,0,1,patient_tissue,0.0320197044334975,0
nature_xue,A121_HCC,nature_xue_A121,Tumor,CONDITIONAL,3387,3,2,1,29,0,0,1,patient_tissue,0.000885739592559787,0
nature_xue,A121_HCC_N,nature_xue_A121,Adjacent,CONDITIONAL,4909,1090,805,285,192,0,0,1,patient_tissue,0.222041148910165,0
nature_xue,A122_HCC,nature_xue_A122,Tumor,CONDITIONAL,5210,96,41,55,152,0,0,1,patient_tissue,0.018426103646833,0
nature_xue,A122_HCC_N,nature_xue_A122,Adjacent,CONDITIONAL,8421,224,118,106,172,0,0,1,patient_tissue,0.0266001662510391,0
nature_xue,A123_HCC,nature_xue_A123,Tumor,CONDITIONAL,8910,521,369,152,287,0,0,1,patient_tissue,0.0584736251402918,0
nature_xue,A123_HCC_N,nature_xue_A123,Adjacent,CONDITIONAL,5678,2058,1777,281,230,0,0,1,patient_tissue,0.362451567453329,0
nature_xue,A124_HCC,nature_xue_A124,Tumor,CONDITIONAL,7923,54,40,14,224,0,0,1,patient_tissue,0.00681560015145778,0
nature_xue,A124_HCC_N,nature_xue_A124,Adjacent,CONDITIONAL,5013,1361,1043,318,211,0,0,1,patient_tissue,0.271494115300219,0
